"Number.of.lncRNA.loci	Year	Annotation.Release	Organism	Genome.assembly"
"3278	2024	v113	Zebrafish	GRCz11"
"3278	2023	v110	Zebrafish	GRCz11"
"3278	2022	v108	Zebrafish	GRCz11"
"3278	2021	v105	Zebrafish	GRCz11"
"3278	2020	v102	Zebrafish	GRCz11"
"3278	2019	v98	Zebrafish	GRCz11"
"3261	2018	v94	Zebrafish	GRCz11"
"35934	2024	v47	Human	GRCh38.p14"
"19922	2023	v44	Human	GRCh38.p14"
"19933	2022	v42	Human	GRCh38.p13"
"18811	2021	v39	Human	GRCh38.p13"
"17958	2020	v36	Human	GRCh38.p13"
"17910	2019	v32	Human	GRCh38.p13"
"16066	2018	v29	Human	GRCh38.p12"
"36172	2024	vM36	Mouse	GRCm39"
"14842	2023	vM33	Mouse	GRCm39"
"14764	2022	vM31	Mouse	GRCm39"
"13186	2021	vM28	Mouse	GRCm39"
"13197	2020	vM25	Mouse	GRCm38.p6"
"13201	2019	vM23	Mouse	GRCm38.p6"
"12840	2018	vM19	Mouse	GRCm38.p6"
