seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Post	0+	2-4Cell-noSS500Rep1	HCGM-mono	264152
ONT	Post	0+	2-4Cell-noSS500Rep1	HCGM-spliced	3517630
ONT	Post	0+	2-4Cell-noSS500Rep1	nonHCGM-mono	230768
ONT	Post	0+	2-4Cell-noSS500Rep1	nonHCGM-spliced	2472987
ONT	Post	0+	2-4CellRep1	HCGM-mono	514120
ONT	Post	0+	2-4CellRep1	HCGM-spliced	5366882
ONT	Post	0+	2-4CellRep1	nonHCGM-mono	1386018
ONT	Post	0+	2-4CellRep1	nonHCGM-spliced	2763226
ONT	Post	0+	2-4Cell-TSORep1	HCGM-mono	2068633
ONT	Post	0+	2-4Cell-TSORep1	HCGM-spliced	4451995
ONT	Post	0+	2-4Cell-TSORep1	nonHCGM-mono	488879
ONT	Post	0+	2-4Cell-TSORep1	nonHCGM-spliced	4847172
ONT	Post	0+	28hpf-noSS500Rep1	HCGM-mono	116727
ONT	Post	0+	28hpf-noSS500Rep1	HCGM-spliced	4045449
ONT	Post	0+	28hpf-noSS500Rep1	nonHCGM-mono	144170
ONT	Post	0+	28hpf-noSS500Rep1	nonHCGM-spliced	2500786
ONT	Post	0+	28hpfRep1	HCGM-mono	784879
ONT	Post	0+	28hpfRep1	HCGM-spliced	3870603
ONT	Post	0+	28hpfRep1	nonHCGM-mono	3298174
ONT	Post	0+	28hpfRep1	nonHCGM-spliced	2487937
ONT	Post	0+	28hpf-TSORep1	HCGM-mono	3508127
ONT	Post	0+	28hpf-TSORep1	HCGM-spliced	6305479
ONT	Post	0+	28hpf-TSORep1	nonHCGM-mono	1324115
ONT	Post	0+	28hpf-TSORep1	nonHCGM-spliced	5274049
ONT	Post	0+	BrainRep1	HCGM-mono	2501533
ONT	Post	0+	BrainRep1	HCGM-spliced	6376005
ONT	Post	0+	BrainRep1	nonHCGM-mono	7728496
ONT	Post	0+	BrainRep1	nonHCGM-spliced	3387728
ONT	Post	0+	Heart-noSS500Rep1	HCGM-mono	499356
ONT	Post	0+	Heart-noSS500Rep1	HCGM-spliced	8174951
ONT	Post	0+	Heart-noSS500Rep1	nonHCGM-mono	292636
ONT	Post	0+	Heart-noSS500Rep1	nonHCGM-spliced	4496369
ONT	Post	0+	HeartRep1	HCGM-mono	439422
ONT	Post	0+	HeartRep1	HCGM-spliced	3495251
ONT	Post	0+	HeartRep1	nonHCGM-mono	3896190
ONT	Post	0+	HeartRep1	nonHCGM-spliced	2808396
ONT	Post	0+	Heart-TSORep1	HCGM-mono	1282093
ONT	Post	0+	Heart-TSORep1	HCGM-spliced	3130017
ONT	Post	0+	Heart-TSORep1	nonHCGM-mono	551846
ONT	Post	0+	Heart-TSORep1	nonHCGM-spliced	2681553
ONT	Post	0+	LiverRep1	HCGM-mono	504750
ONT	Post	0+	LiverRep1	HCGM-spliced	5820981
ONT	Post	0+	LiverRep1	nonHCGM-mono	3570959
ONT	Post	0+	LiverRep1	nonHCGM-spliced	4226691
ONT	Post	0+	OvaryRep1	HCGM-mono	389165
ONT	Post	0+	OvaryRep1	HCGM-spliced	6032314
ONT	Post	0+	OvaryRep1	nonHCGM-mono	638004
ONT	Post	0+	OvaryRep1	nonHCGM-spliced	2258913
ONT	Post	0+	ShieldRep1	HCGM-mono	512540
ONT	Post	0+	ShieldRep1	HCGM-spliced	2195813
ONT	Post	0+	ShieldRep1	nonHCGM-mono	1795790
ONT	Post	0+	ShieldRep1	nonHCGM-spliced	1305422
ONT	Post	0+	Testis-noSS500Rep1	HCGM-mono	416774
ONT	Post	0+	Testis-noSS500Rep1	HCGM-spliced	5304129
ONT	Post	0+	Testis-noSS500Rep1	nonHCGM-mono	297964
ONT	Post	0+	Testis-noSS500Rep1	nonHCGM-spliced	2957105
