seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	94.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	97.1
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	76.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	89.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	40.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	66.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	71.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	88.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	94.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	100.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	43.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	70.6
ONT	Post	0+	2-4CellRep1	Base	Pr	98.3
ONT	Post	0+	2-4CellRep1	Base	Sn	52.7
ONT	Post	0+	2-4CellRep1	Exon	Pr	89.2
ONT	Post	0+	2-4CellRep1	Exon	Sn	44.1
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	80.8
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	35.0
ONT	Post	0+	2-4CellRep1	Intron	Pr	94.0
ONT	Post	0+	2-4CellRep1	Intron	Sn	42.0
ONT	Post	0+	2-4CellRep1	Locus	Pr	84.6
ONT	Post	0+	2-4CellRep1	Locus	Sn	55.6
ONT	Post	0+	2-4CellRep1	Transcript	Pr	76.7
ONT	Post	0+	2-4CellRep1	Transcript	Sn	33.8
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	94.6
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	97.8
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	73.4
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	92.5
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	43.2
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	68.3
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	72.9
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	91.1
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	90.0
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	100.0
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	40.8
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	72.1
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	98.5
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	83.1
