seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Post	0+	2-4Cell-noSS500Rep1	HCGMreads	3781782
ONT	Post	0+	2-4Cell-noSS500Rep1	mergedTMs	31488
ONT	Post	0+	2-4CellRep1	HCGMreads	5881002
ONT	Post	0+	2-4CellRep1	mergedTMs	30055
ONT	Post	0+	2-4Cell-TSORep1	HCGMreads	6520628
ONT	Post	0+	2-4Cell-TSORep1	mergedTMs	51182
ONT	Post	0+	28hpf-noSS500Rep1	HCGMreads	4162176
ONT	Post	0+	28hpf-noSS500Rep1	mergedTMs	21237
ONT	Post	0+	28hpfRep1	HCGMreads	4655482
ONT	Post	0+	28hpfRep1	mergedTMs	34397
ONT	Post	0+	28hpf-TSORep1	HCGMreads	9813606
ONT	Post	0+	28hpf-TSORep1	mergedTMs	85275
ONT	Post	0+	BrainRep1	HCGMreads	8877538
ONT	Post	0+	BrainRep1	mergedTMs	43268
ONT	Post	0+	Heart-noSS500Rep1	HCGMreads	8674307
ONT	Post	0+	Heart-noSS500Rep1	mergedTMs	27360
ONT	Post	0+	HeartRep1	HCGMreads	3934673
ONT	Post	0+	HeartRep1	mergedTMs	31904
ONT	Post	0+	Heart-TSORep1	HCGMreads	4412110
ONT	Post	0+	Heart-TSORep1	mergedTMs	39358
ONT	Post	0+	LiverRep1	HCGMreads	6325731
ONT	Post	0+	LiverRep1	mergedTMs	32588
ONT	Post	0+	OvaryRep1	HCGMreads	6421479
ONT	Post	0+	OvaryRep1	mergedTMs	44272
ONT	Post	0+	ShieldRep1	HCGMreads	2708353
ONT	Post	0+	ShieldRep1	mergedTMs	26167
ONT	Post	0+	Testis-noSS500Rep1	HCGMreads	5720903
ONT	Post	0+	Testis-noSS500Rep1	mergedTMs	42369
ONT	Post	0+	TestisRep1	HCGMreads	6034550
ONT	Post	0+	TestisRep1	mergedTMs	64721
ONT	Post	0+	Testis-TSORep1	HCGMreads	3182887
ONT	Post	0+	Testis-TSORep1	mergedTMs	54873
ONT	Pre	0+	2-4Cell-noSS500Rep1	HCGMreads	3781782
ONT	Pre	0+	2-4Cell-noSS500Rep1	mergedTMs	31488
ONT	Pre	0+	2-4CellRep1	HCGMreads	7617099
ONT	Pre	0+	2-4CellRep1	mergedTMs	47090
ONT	Pre	0+	2-4Cell-TSORep1	HCGMreads	6520628
ONT	Pre	0+	2-4Cell-TSORep1	mergedTMs	51182
ONT	Pre	0+	28hpf-noSS500Rep1	HCGMreads	4162176
ONT	Pre	0+	28hpf-noSS500Rep1	mergedTMs	21237
ONT	Pre	0+	28hpfRep1	HCGMreads	3807223
ONT	Pre	0+	28hpfRep1	mergedTMs	24594
ONT	Pre	0+	28hpf-TSORep1	HCGMreads	9813606
ONT	Pre	0+	28hpf-TSORep1	mergedTMs	85275
ONT	Pre	0+	BrainRep1	HCGMreads	7194364
ONT	Pre	0+	BrainRep1	mergedTMs	46240
ONT	Pre	0+	Heart-noSS500Rep1	HCGMreads	8674307
ONT	Pre	0+	Heart-noSS500Rep1	mergedTMs	27360
ONT	Pre	0+	HeartRep1	HCGMreads	7239538
ONT	Pre	0+	HeartRep1	mergedTMs	26731
ONT	Pre	0+	Heart-TSORep1	HCGMreads	4412110
ONT	Pre	0+	Heart-TSORep1	mergedTMs	39358
ONT	Pre	0+	LiverRep1	HCGMreads	7880222
ONT	Pre	0+	LiverRep1	mergedTMs	21882
ONT	Pre	0+	OvaryRep1	HCGMreads	6392822
ONT	Pre	0+	OvaryRep1	mergedTMs	38966
ONT	Pre	0+	ShieldRep1	HCGMreads	7258055
ONT	Pre	0+	ShieldRep1	mergedTMs	47827
ONT	Pre	0+	Testis-noSS500Rep1	HCGMreads	5720903
ONT	Pre	0+	Testis-noSS500Rep1	mergedTMs	42369
ONT	Pre	0+	TestisRep1	HCGMreads	7348383
ONT	Pre	0+	TestisRep1	mergedTMs	53702
ONT	Pre	0+	Testis-TSORep1	HCGMreads	3182887
ONT	Pre	0+	Testis-TSORep1	mergedTMs	54873
