seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	cageAndPolyA	27110	0.860963
ONT	Post	0+	2-4Cell-noSS500Rep1	cageOnly	2809	0.0892086
ONT	Post	0+	2-4Cell-noSS500Rep1	noCageNoPolyA	271	0.00860645
ONT	Post	0+	2-4Cell-noSS500Rep1	polyAOnly	1298	0.0412221
ONT	Post	0+	2-4CellRep1	cageAndPolyA	21547	0.716919
ONT	Post	0+	2-4CellRep1	cageOnly	3062	0.10188
ONT	Post	0+	2-4CellRep1	noCageNoPolyA	1060	0.0352687
ONT	Post	0+	2-4CellRep1	polyAOnly	4386	0.145932
ONT	Post	0+	2-4Cell-TSORep1	cageAndPolyA	40611	0.793463
ONT	Post	0+	2-4Cell-TSORep1	cageOnly	3401	0.0664491
ONT	Post	0+	2-4Cell-TSORep1	noCageNoPolyA	747	0.014595
ONT	Post	0+	2-4Cell-TSORep1	polyAOnly	6423	0.125493
ONT	Post	0+	28hpf-noSS500Rep1	cageAndPolyA	18528	0.87244
ONT	Post	0+	28hpf-noSS500Rep1	cageOnly	2064	0.0971889
ONT	Post	0+	28hpf-noSS500Rep1	noCageNoPolyA	140	0.00659227
ONT	Post	0+	28hpf-noSS500Rep1	polyAOnly	505	0.0237793
ONT	Post	0+	28hpfRep1	cageAndPolyA	23941	0.69602
ONT	Post	0+	28hpfRep1	cageOnly	4655	0.135332
ONT	Post	0+	28hpfRep1	noCageNoPolyA	1398	0.0406431
ONT	Post	0+	28hpfRep1	polyAOnly	4403	0.128005
ONT	Post	0+	28hpf-TSORep1	cageAndPolyA	54423	0.638206
ONT	Post	0+	28hpf-TSORep1	cageOnly	6616	0.0775843
ONT	Post	0+	28hpf-TSORep1	noCageNoPolyA	2212	0.0259396
ONT	Post	0+	28hpf-TSORep1	polyAOnly	22024	0.25827
ONT	Post	0+	BrainRep1	cageAndPolyA	22928	0.529907
ONT	Post	0+	BrainRep1	cageOnly	5888	0.136082
ONT	Post	0+	BrainRep1	noCageNoPolyA	3422	0.0790885
ONT	Post	0+	BrainRep1	polyAOnly	11030	0.254923
ONT	Post	0+	Heart-noSS500Rep1	cageAndPolyA	22031	0.805227
ONT	Post	0+	Heart-noSS500Rep1	cageOnly	2915	0.106542
ONT	Post	0+	Heart-noSS500Rep1	noCageNoPolyA	358	0.0130848
ONT	Post	0+	Heart-noSS500Rep1	polyAOnly	2056	0.0751462
ONT	Post	0+	HeartRep1	cageAndPolyA	20580	0.64506
ONT	Post	0+	HeartRep1	cageOnly	4379	0.137256
ONT	Post	0+	HeartRep1	noCageNoPolyA	1556	0.0487713
ONT	Post	0+	HeartRep1	polyAOnly	5389	0.168913
ONT	Post	0+	Heart-TSORep1	cageAndPolyA	27241	0.692134
ONT	Post	0+	Heart-TSORep1	cageOnly	2910	0.0739367
ONT	Post	0+	Heart-TSORep1	noCageNoPolyA	912	0.0231719
ONT	Post	0+	Heart-TSORep1	polyAOnly	8295	0.210758
ONT	Post	0+	LiverRep1	cageAndPolyA	23299	0.714956
ONT	Post	0+	LiverRep1	cageOnly	3701	0.113569
ONT	Post	0+	LiverRep1	noCageNoPolyA	1164	0.0357187
ONT	Post	0+	LiverRep1	polyAOnly	4424	0.135755
ONT	Post	0+	OvaryRep1	cageAndPolyA	33690	0.760978
ONT	Post	0+	OvaryRep1	cageOnly	2169	0.0489926
ONT	Post	0+	OvaryRep1	noCageNoPolyA	813	0.0183638
ONT	Post	0+	OvaryRep1	polyAOnly	7600	0.171666
ONT	Post	0+	ShieldRep1	cageAndPolyA	18004	0.688042
ONT	Post	0+	ShieldRep1	cageOnly	3350	0.128024
ONT	Post	0+	ShieldRep1	noCageNoPolyA	1162	0.0444071
ONT	Post	0+	ShieldRep1	polyAOnly	3651	0.139527
ONT	Post	0+	Testis-noSS500Rep1	cageAndPolyA	31107	0.734192
ONT	Post	0+	Testis-noSS500Rep1	cageOnly	2504	0.0590998
ONT	Post	0+	Testis-noSS500Rep1	noCageNoPolyA	729	0.017206
ONT	Post	0+	Testis-noSS500Rep1	polyAOnly	8029	0.189502
ONT	Post	0+	TestisRep1	cageAndPolyA	35618	0.550331
ONT	Post	0+	TestisRep1	cageOnly	4067	0.062839
ONT	Post	0+	TestisRep1	noCageNoPolyA	2730	0.0421811
ONT	Post	0+	TestisRep1	polyAOnly	22306	0.344649
ONT	Post	0+	Testis-TSORep1	cageAndPolyA	35618	0.649099
ONT	Post	0+	Testis-TSORep1	cageOnly	2518	0.0458878
ONT	Post	0+	Testis-TSORep1	noCageNoPolyA	952	0.0173492
ONT	Post	0+	Testis-TSORep1	polyAOnly	15785	0.287664
ONT	Pre	0+	2-4Cell-noSS500Rep1	cageAndPolyA	27110	0.860963
