seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	flGenes	7093	0.634891
ONT	Post	0+	2-4Cell-noSS500Rep1	nonFlGenes	4079	0.365109
ONT	Post	0+	2-4CellRep1	flGenes	2665	0.363972
ONT	Post	0+	2-4CellRep1	nonFlGenes	4657	0.636028
ONT	Post	0+	2-4Cell-TSORep1	flGenes	8643	0.627487
ONT	Post	0+	2-4Cell-TSORep1	nonFlGenes	5131	0.372513
ONT	Post	0+	28hpf-noSS500Rep1	flGenes	6534	0.71488
ONT	Post	0+	28hpf-noSS500Rep1	nonFlGenes	2606	0.28512
ONT	Post	0+	28hpfRep1	flGenes	5056	0.524971
ONT	Post	0+	28hpfRep1	nonFlGenes	4575	0.475029
ONT	Post	0+	28hpf-TSORep1	flGenes	10785	0.58373
ONT	Post	0+	28hpf-TSORep1	nonFlGenes	7691	0.41627
ONT	Post	0+	BrainRep1	flGenes	3428	0.310058
ONT	Post	0+	BrainRep1	nonFlGenes	7628	0.689942
ONT	Post	0+	Heart-noSS500Rep1	flGenes	7059	0.685673
ONT	Post	0+	Heart-noSS500Rep1	nonFlGenes	3236	0.314327
ONT	Post	0+	HeartRep1	flGenes	4749	0.508513
ONT	Post	0+	HeartRep1	nonFlGenes	4590	0.491487
ONT	Post	0+	Heart-TSORep1	flGenes	7765	0.59966
ONT	Post	0+	Heart-TSORep1	nonFlGenes	5184	0.40034
ONT	Post	0+	LiverRep1	flGenes	5230	0.568911
ONT	Post	0+	LiverRep1	nonFlGenes	3963	0.431089
ONT	Post	0+	OvaryRep1	flGenes	5077	0.544509
ONT	Post	0+	OvaryRep1	nonFlGenes	4247	0.455491
ONT	Post	0+	ShieldRep1	flGenes	2542	0.369907
ONT	Post	0+	ShieldRep1	nonFlGenes	4330	0.630093
ONT	Post	0+	Testis-noSS500Rep1	flGenes	6841	0.530269
ONT	Post	0+	Testis-noSS500Rep1	nonFlGenes	6060	0.469731
ONT	Post	0+	TestisRep1	flGenes	3846	0.386416
ONT	Post	0+	TestisRep1	nonFlGenes	6107	0.613584
ONT	Post	0+	Testis-TSORep1	flGenes	8565	0.515933
ONT	Post	0+	Testis-TSORep1	nonFlGenes	8036	0.484067
ONT	Pre	0+	2-4Cell-noSS500Rep1	flGenes	7093	0.634891
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonFlGenes	4079	0.365109
ONT	Pre	0+	2-4CellRep1	flGenes	8015	0.592519
ONT	Pre	0+	2-4CellRep1	nonFlGenes	5512	0.407481
ONT	Pre	0+	2-4Cell-TSORep1	flGenes	8643	0.627487
ONT	Pre	0+	2-4Cell-TSORep1	nonFlGenes	5131	0.372513
ONT	Pre	0+	28hpf-noSS500Rep1	flGenes	6534	0.71488
ONT	Pre	0+	28hpf-noSS500Rep1	nonFlGenes	2606	0.28512
ONT	Pre	0+	28hpfRep1	flGenes	7577	0.709523
ONT	Pre	0+	28hpfRep1	nonFlGenes	3102	0.290477
ONT	Pre	0+	28hpf-TSORep1	flGenes	10785	0.58373
ONT	Pre	0+	28hpf-TSORep1	nonFlGenes	7691	0.41627
ONT	Pre	0+	BrainRep1	flGenes	8294	0.557617
ONT	Pre	0+	BrainRep1	nonFlGenes	6580	0.442383
ONT	Pre	0+	Heart-noSS500Rep1	flGenes	7059	0.685673
ONT	Pre	0+	Heart-noSS500Rep1	nonFlGenes	3236	0.314327
ONT	Pre	0+	HeartRep1	flGenes	7184	0.691967
ONT	Pre	0+	HeartRep1	nonFlGenes	3198	0.308033
ONT	Pre	0+	Heart-TSORep1	flGenes	7765	0.59966
ONT	Pre	0+	Heart-TSORep1	nonFlGenes	5184	0.40034
ONT	Pre	0+	LiverRep1	flGenes	6149	0.746963
ONT	Pre	0+	LiverRep1	nonFlGenes	2083	0.253037
ONT	Pre	0+	OvaryRep1	flGenes	7688	0.631095
ONT	Pre	0+	OvaryRep1	nonFlGenes	4494	0.368905
ONT	Pre	0+	ShieldRep1	flGenes	7271	0.570857
ONT	Pre	0+	ShieldRep1	nonFlGenes	5466	0.429143
ONT	Pre	0+	Testis-noSS500Rep1	flGenes	6841	0.530269
ONT	Pre	0+	Testis-noSS500Rep1	nonFlGenes	6060	0.469731
ONT	Pre	0+	TestisRep1	flGenes	7768	0.521868
ONT	Pre	0+	TestisRep1	nonFlGenes	7117	0.478132
ONT	Pre	0+	Testis-TSORep1	flGenes	8565	0.515933
ONT	Pre	0+	Testis-TSORep1	nonFlGenes	8036	0.484067
