seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	flGenes	6465	0.653228
ONT	Post	0+	2-4Cell-noSS500Rep1	nonFlGenes	3432	0.346772
ONT	Post	0+	2-4CellRep1	flGenes	2378	0.400472
ONT	Post	0+	2-4CellRep1	nonFlGenes	3560	0.599528
ONT	Post	0+	2-4Cell-TSORep1	flGenes	8066	0.653065
ONT	Post	0+	2-4Cell-TSORep1	nonFlGenes	4285	0.346935
ONT	Post	0+	28hpf-noSS500Rep1	flGenes	6004	0.751722
ONT	Post	0+	28hpf-noSS500Rep1	nonFlGenes	1983	0.248278
ONT	Post	0+	28hpfRep1	flGenes	4561	0.582057
ONT	Post	0+	28hpfRep1	nonFlGenes	3275	0.417943
ONT	Post	0+	28hpf-TSORep1	flGenes	9857	0.62394
ONT	Post	0+	28hpf-TSORep1	nonFlGenes	5941	0.37606
ONT	Post	0+	BrainRep1	flGenes	2853	0.376932
ONT	Post	0+	BrainRep1	nonFlGenes	4716	0.623068
ONT	Post	0+	Heart-noSS500Rep1	flGenes	6341	0.730951
ONT	Post	0+	Heart-noSS500Rep1	nonFlGenes	2334	0.269049
ONT	Post	0+	HeartRep1	flGenes	4087	0.567718
ONT	Post	0+	HeartRep1	nonFlGenes	3112	0.432282
ONT	Post	0+	Heart-TSORep1	flGenes	6996	0.64331
ONT	Post	0+	Heart-TSORep1	nonFlGenes	3879	0.35669
ONT	Post	0+	LiverRep1	flGenes	4619	0.62478
ONT	Post	0+	LiverRep1	nonFlGenes	2774	0.37522
ONT	Post	0+	OvaryRep1	flGenes	4742	0.587754
ONT	Post	0+	OvaryRep1	nonFlGenes	3326	0.412246
ONT	Post	0+	ShieldRep1	flGenes	2300	0.415613
ONT	Post	0+	ShieldRep1	nonFlGenes	3234	0.584387
ONT	Post	0+	Testis-noSS500Rep1	flGenes	6055	0.581708
ONT	Post	0+	Testis-noSS500Rep1	nonFlGenes	4354	0.418292
ONT	Post	0+	TestisRep1	flGenes	3342	0.465006
ONT	Post	0+	TestisRep1	nonFlGenes	3845	0.534994
ONT	Post	0+	Testis-TSORep1	flGenes	7614	0.573516
ONT	Post	0+	Testis-TSORep1	nonFlGenes	5662	0.426484
ONT	Pre	0+	2-4Cell-noSS500Rep1	flGenes	6465	0.653228
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonFlGenes	3432	0.346772
ONT	Pre	0+	2-4CellRep1	flGenes	7368	0.611503
ONT	Pre	0+	2-4CellRep1	nonFlGenes	4681	0.388497
ONT	Pre	0+	2-4Cell-TSORep1	flGenes	8066	0.653065
ONT	Pre	0+	2-4Cell-TSORep1	nonFlGenes	4285	0.346935
ONT	Pre	0+	28hpf-noSS500Rep1	flGenes	6004	0.751722
ONT	Pre	0+	28hpf-noSS500Rep1	nonFlGenes	1983	0.248278
ONT	Pre	0+	28hpfRep1	flGenes	6983	0.745808
ONT	Pre	0+	28hpfRep1	nonFlGenes	2380	0.254192
ONT	Pre	0+	28hpf-TSORep1	flGenes	9857	0.62394
ONT	Pre	0+	28hpf-TSORep1	nonFlGenes	5941	0.37606
ONT	Pre	0+	BrainRep1	flGenes	7067	0.595969
ONT	Pre	0+	BrainRep1	nonFlGenes	4791	0.404031
ONT	Pre	0+	Heart-noSS500Rep1	flGenes	6341	0.730951
ONT	Pre	0+	Heart-noSS500Rep1	nonFlGenes	2334	0.269049
ONT	Pre	0+	HeartRep1	flGenes	6413	0.736872
ONT	Pre	0+	HeartRep1	nonFlGenes	2290	0.263128
ONT	Pre	0+	Heart-TSORep1	flGenes	6996	0.64331
ONT	Pre	0+	Heart-TSORep1	nonFlGenes	3879	0.35669
ONT	Pre	0+	LiverRep1	flGenes	5564	0.779053
ONT	Pre	0+	LiverRep1	nonFlGenes	1578	0.220947
ONT	Pre	0+	OvaryRep1	flGenes	7250	0.651276
ONT	Pre	0+	OvaryRep1	nonFlGenes	3882	0.348724
ONT	Pre	0+	ShieldRep1	flGenes	6685	0.5938
ONT	Pre	0+	ShieldRep1	nonFlGenes	4573	0.4062
ONT	Pre	0+	Testis-noSS500Rep1	flGenes	6055	0.581708
ONT	Pre	0+	Testis-noSS500Rep1	nonFlGenes	4354	0.418292
ONT	Pre	0+	TestisRep1	flGenes	6866	0.565755
ONT	Pre	0+	TestisRep1	nonFlGenes	5270	0.434245
ONT	Pre	0+	Testis-TSORep1	flGenes	7614	0.573516
ONT	Pre	0+	Testis-TSORep1	nonFlGenes	5662	0.426484
