seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	cageAndPolyA	23168	0.860784
ONT	Post	0+	2-4Cell-noSS500Rep1	cageOnly	2809	0.104366
ONT	Post	0+	2-4Cell-noSS500Rep1	noCageNoPolyA	271	0.0100687
ONT	Post	0+	2-4Cell-noSS500Rep1	polyAOnly	667	0.0247817
ONT	Post	0+	2-4CellRep1	cageAndPolyA	18646	0.728872
ONT	Post	0+	2-4CellRep1	cageOnly	3062	0.119694
ONT	Post	0+	2-4CellRep1	noCageNoPolyA	1060	0.0414354
ONT	Post	0+	2-4CellRep1	polyAOnly	2814	0.109999
ONT	Post	0+	2-4Cell-TSORep1	cageAndPolyA	30558	0.85422
ONT	Post	0+	2-4Cell-TSORep1	cageOnly	3401	0.0950717
ONT	Post	0+	2-4Cell-TSORep1	noCageNoPolyA	747	0.0208817
ONT	Post	0+	2-4Cell-TSORep1	polyAOnly	1067	0.029827
ONT	Post	0+	28hpf-noSS500Rep1	cageAndPolyA	16097	0.867763
ONT	Post	0+	28hpf-noSS500Rep1	cageOnly	2064	0.111267
ONT	Post	0+	28hpf-noSS500Rep1	noCageNoPolyA	140	0.00754717
ONT	Post	0+	28hpf-noSS500Rep1	polyAOnly	249	0.0134232
ONT	Post	0+	28hpfRep1	cageAndPolyA	20494	0.700027
ONT	Post	0+	28hpfRep1	cageOnly	4655	0.159004
ONT	Post	0+	28hpfRep1	noCageNoPolyA	1398	0.0477524
ONT	Post	0+	28hpfRep1	polyAOnly	2729	0.0932163
ONT	Post	0+	28hpf-TSORep1	cageAndPolyA	35910	0.763539
ONT	Post	0+	28hpf-TSORep1	cageOnly	6616	0.140673
ONT	Post	0+	28hpf-TSORep1	noCageNoPolyA	2212	0.0470328
ONT	Post	0+	28hpf-TSORep1	polyAOnly	2293	0.0487551
ONT	Post	0+	BrainRep1	cageAndPolyA	17720	0.541614
ONT	Post	0+	BrainRep1	cageOnly	5888	0.179968
ONT	Post	0+	BrainRep1	noCageNoPolyA	3422	0.104594
ONT	Post	0+	BrainRep1	polyAOnly	5687	0.173824
ONT	Post	0+	Heart-noSS500Rep1	cageAndPolyA	19177	0.807147
ONT	Post	0+	Heart-noSS500Rep1	cageOnly	2915	0.12269
ONT	Post	0+	Heart-noSS500Rep1	noCageNoPolyA	358	0.015068
ONT	Post	0+	Heart-noSS500Rep1	polyAOnly	1309	0.0550949
ONT	Post	0+	HeartRep1	cageAndPolyA	17696	0.648609
ONT	Post	0+	HeartRep1	cageOnly	4379	0.160503
ONT	Post	0+	HeartRep1	noCageNoPolyA	1556	0.0570319
ONT	Post	0+	HeartRep1	polyAOnly	3652	0.133856
ONT	Post	0+	Heart-TSORep1	cageAndPolyA	18853	0.782607
ONT	Post	0+	Heart-TSORep1	cageOnly	2910	0.120797
