seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	flGenes	6965	0.66113
ONT	Post	0+	2-4Cell-noSS500Rep1	nonFlGenes	3570	0.33887
ONT	Post	0+	2-4CellRep1	flGenes	2636	0.435415
ONT	Post	0+	2-4CellRep1	nonFlGenes	3418	0.564585
ONT	Post	0+	2-4Cell-TSORep1	flGenes	8533	0.675774
ONT	Post	0+	2-4Cell-TSORep1	nonFlGenes	4094	0.324226
ONT	Post	0+	28hpf-noSS500Rep1	flGenes	6383	0.747949
ONT	Post	0+	28hpf-noSS500Rep1	nonFlGenes	2151	0.252051
ONT	Post	0+	28hpfRep1	flGenes	4961	0.576525
ONT	Post	0+	28hpfRep1	nonFlGenes	3644	0.423475
ONT	Post	0+	28hpf-TSORep1	flGenes	10554	0.673688
ONT	Post	0+	28hpf-TSORep1	nonFlGenes	5112	0.326312
ONT	Post	0+	BrainRep1	flGenes	3368	0.397404
ONT	Post	0+	BrainRep1	nonFlGenes	5107	0.602596
ONT	Post	0+	Heart-noSS500Rep1	flGenes	6947	0.712586
ONT	Post	0+	Heart-noSS500Rep1	nonFlGenes	2802	0.287414
ONT	Post	0+	HeartRep1	flGenes	4677	0.556985
ONT	Post	0+	HeartRep1	nonFlGenes	3720	0.443015
ONT	Post	0+	Heart-TSORep1	flGenes	7634	0.706329
ONT	Post	0+	Heart-TSORep1	nonFlGenes	3174	0.293671
ONT	Post	0+	LiverRep1	flGenes	5151	0.603586
ONT	Post	0+	LiverRep1	nonFlGenes	3383	0.396414
ONT	Post	0+	OvaryRep1	flGenes	5006	0.587283
ONT	Post	0+	OvaryRep1	nonFlGenes	3518	0.412717
ONT	Post	0+	ShieldRep1	flGenes	2500	0.43554
ONT	Post	0+	ShieldRep1	nonFlGenes	3240	0.56446
ONT	Post	0+	Testis-noSS500Rep1	flGenes	6701	0.576381
ONT	Post	0+	Testis-noSS500Rep1	nonFlGenes	4925	0.423619
ONT	Post	0+	TestisRep1	flGenes	3789	0.441248
ONT	Post	0+	TestisRep1	nonFlGenes	4798	0.558752
ONT	Post	0+	Testis-TSORep1	flGenes	8411	0.633406
ONT	Post	0+	Testis-TSORep1	nonFlGenes	4868	0.366594
ONT	Pre	0+	2-4Cell-noSS500Rep1	flGenes	6965	0.66113
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonFlGenes	3570	0.33887
ONT	Pre	0+	2-4CellRep1	flGenes	7897	0.617291
ONT	Pre	0+	2-4CellRep1	nonFlGenes	4896	0.382709
ONT	Pre	0+	2-4Cell-TSORep1	flGenes	8533	0.675774
ONT	Pre	0+	2-4Cell-TSORep1	nonFlGenes	4094	0.324226
ONT	Pre	0+	28hpf-noSS500Rep1	flGenes	6383	0.747949
ONT	Pre	0+	28hpf-noSS500Rep1	nonFlGenes	2151	0.252051
ONT	Pre	0+	28hpfRep1	flGenes	7405	0.738359
ONT	Pre	0+	28hpfRep1	nonFlGenes	2624	0.261641
ONT	Pre	0+	28hpf-TSORep1	flGenes	10554	0.673688
ONT	Pre	0+	28hpf-TSORep1	nonFlGenes	5112	0.326312
ONT	Pre	0+	BrainRep1	flGenes	8111	0.609941
ONT	Pre	0+	BrainRep1	nonFlGenes	5187	0.390059
ONT	Pre	0+	Heart-noSS500Rep1	flGenes	6947	0.712586
ONT	Pre	0+	Heart-noSS500Rep1	nonFlGenes	2802	0.287414
ONT	Pre	0+	HeartRep1	flGenes	7074	0.718246
ONT	Pre	0+	HeartRep1	nonFlGenes	2775	0.281754
ONT	Pre	0+	Heart-TSORep1	flGenes	7634	0.706329
ONT	Pre	0+	Heart-TSORep1	nonFlGenes	3174	0.293671
ONT	Pre	0+	LiverRep1	flGenes	6066	0.772444
ONT	Pre	0+	LiverRep1	nonFlGenes	1787	0.227556
ONT	Pre	0+	OvaryRep1	flGenes	7571	0.661569
ONT	Pre	0+	OvaryRep1	nonFlGenes	3873	0.338431
ONT	Pre	0+	ShieldRep1	flGenes	7140	0.617914
ONT	Pre	0+	ShieldRep1	nonFlGenes	4415	0.382086
ONT	Pre	0+	Testis-noSS500Rep1	flGenes	6701	0.576381
ONT	Pre	0+	Testis-noSS500Rep1	nonFlGenes	4925	0.423619
ONT	Pre	0+	TestisRep1	flGenes	7620	0.568869
ONT	Pre	0+	TestisRep1	nonFlGenes	5775	0.431131
ONT	Pre	0+	Testis-TSORep1	flGenes	8411	0.633406
ONT	Pre	0+	Testis-TSORep1	nonFlGenes	4868	0.366594
