seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	cageAndPolyA	3942	0.862016
ONT	Post	0+	2-4Cell-noSS500Rep1	cageOnly	0	0
ONT	Post	0+	2-4Cell-noSS500Rep1	noCageNoPolyA	0	0
ONT	Post	0+	2-4Cell-noSS500Rep1	polyAOnly	631	0.137984
ONT	Post	0+	2-4CellRep1	cageAndPolyA	2901	0.648558
ONT	Post	0+	2-4CellRep1	cageOnly	0	0
ONT	Post	0+	2-4CellRep1	noCageNoPolyA	0	0
ONT	Post	0+	2-4CellRep1	polyAOnly	1572	0.351442
ONT	Post	0+	2-4Cell-TSORep1	cageAndPolyA	10053	0.652411
ONT	Post	0+	2-4Cell-TSORep1	cageOnly	0	0
ONT	Post	0+	2-4Cell-TSORep1	noCageNoPolyA	0	0
ONT	Post	0+	2-4Cell-TSORep1	polyAOnly	5356	0.347589
ONT	Post	0+	28hpf-noSS500Rep1	cageAndPolyA	2431	0.904726
ONT	Post	0+	28hpf-noSS500Rep1	cageOnly	0	0
ONT	Post	0+	28hpf-noSS500Rep1	noCageNoPolyA	0	0
ONT	Post	0+	28hpf-noSS500Rep1	polyAOnly	256	0.0952735
ONT	Post	0+	28hpfRep1	cageAndPolyA	3447	0.673111
ONT	Post	0+	28hpfRep1	cageOnly	0	0
ONT	Post	0+	28hpfRep1	noCageNoPolyA	0	0
ONT	Post	0+	28hpfRep1	polyAOnly	1674	0.326889
ONT	Post	0+	28hpf-TSORep1	cageAndPolyA	18513	0.484076
ONT	Post	0+	28hpf-TSORep1	cageOnly	0	0
ONT	Post	0+	28hpf-TSORep1	noCageNoPolyA	0	0
ONT	Post	0+	28hpf-TSORep1	polyAOnly	19731	0.515924
ONT	Post	0+	BrainRep1	cageAndPolyA	5208	0.493603
ONT	Post	0+	BrainRep1	cageOnly	0	0
ONT	Post	0+	BrainRep1	noCageNoPolyA	0	0
ONT	Post	0+	BrainRep1	polyAOnly	5343	0.506397
ONT	Post	0+	Heart-noSS500Rep1	cageAndPolyA	2854	0.792558
ONT	Post	0+	Heart-noSS500Rep1	cageOnly	0	0
