seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	flGenes	143	0.0366573
ONT	Post	0+	2-4Cell-noSS500Rep1	nonFlGenes	3758	0.963343
ONT	Post	0+	2-4CellRep1	flGenes	31	0.0101806
ONT	Post	0+	2-4CellRep1	nonFlGenes	3014	0.989819
ONT	Post	0+	2-4Cell-TSORep1	flGenes	137	0.0143126
ONT	Post	0+	2-4Cell-TSORep1	nonFlGenes	9435	0.985687
ONT	Post	0+	28hpf-noSS500Rep1	flGenes	167	0.0745869
ONT	Post	0+	28hpf-noSS500Rep1	nonFlGenes	2072	0.925413
ONT	Post	0+	28hpfRep1	flGenes	105	0.0327103
ONT	Post	0+	28hpfRep1	nonFlGenes	3105	0.96729
ONT	Post	0+	28hpf-TSORep1	flGenes	265	0.0170802
ONT	Post	0+	28hpf-TSORep1	nonFlGenes	15250	0.98292
ONT	Post	0+	BrainRep1	flGenes	66	0.0112705
ONT	Post	0+	BrainRep1	nonFlGenes	5790	0.98873
ONT	Post	0+	Heart-noSS500Rep1	flGenes	129	0.043537
ONT	Post	0+	Heart-noSS500Rep1	nonFlGenes	2834	0.956463
ONT	Post	0+	HeartRep1	flGenes	79	0.0258001
ONT	Post	0+	HeartRep1	nonFlGenes	2983	0.9742
ONT	Post	0+	Heart-TSORep1	flGenes	149	0.0169878
ONT	Post	0+	Heart-TSORep1	nonFlGenes	8622	0.983012
ONT	Post	0+	LiverRep1	flGenes	88	0.0349901
ONT	Post	0+	LiverRep1	nonFlGenes	2427	0.96501
ONT	Post	0+	OvaryRep1	flGenes	81	0.0289286
ONT	Post	0+	OvaryRep1	nonFlGenes	2719	0.971071
ONT	Post	0+	ShieldRep1	flGenes	46	0.0163876
ONT	Post	0+	ShieldRep1	nonFlGenes	2761	0.983612
ONT	Post	0+	Testis-noSS500Rep1	flGenes	155	0.0318275
ONT	Post	0+	Testis-noSS500Rep1	nonFlGenes	4715	0.968172
ONT	Post	0+	TestisRep1	flGenes	61	0.0161632
ONT	Post	0+	TestisRep1	nonFlGenes	3713	0.983837
ONT	Post	0+	Testis-TSORep1	flGenes	174	0.0136449
ONT	Post	0+	Testis-TSORep1	nonFlGenes	12578	0.986355
ONT	Pre	0+	2-4Cell-noSS500Rep1	flGenes	143	0.0366573
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonFlGenes	3758	0.963343
ONT	Pre	0+	2-4CellRep1	flGenes	133	0.0233374
ONT	Pre	0+	2-4CellRep1	nonFlGenes	5566	0.976663
ONT	Pre	0+	2-4Cell-TSORep1	flGenes	137	0.0143126
ONT	Pre	0+	2-4Cell-TSORep1	nonFlGenes	9435	0.985687
ONT	Pre	0+	28hpf-noSS500Rep1	flGenes	167	0.0745869
ONT	Pre	0+	28hpf-noSS500Rep1	nonFlGenes	2072	0.925413
ONT	Pre	0+	28hpfRep1	flGenes	192	0.083225
ONT	Pre	0+	28hpfRep1	nonFlGenes	2115	0.916775
ONT	Pre	0+	28hpf-TSORep1	flGenes	265	0.0170802
ONT	Pre	0+	28hpf-TSORep1	nonFlGenes	15250	0.98292
ONT	Pre	0+	BrainRep1	flGenes	204	0.0300088
ONT	Pre	0+	BrainRep1	nonFlGenes	6594	0.969991
ONT	Pre	0+	Heart-noSS500Rep1	flGenes	129	0.043537
ONT	Pre	0+	Heart-noSS500Rep1	nonFlGenes	2834	0.956463
ONT	Pre	0+	HeartRep1	flGenes	124	0.0438938
ONT	Pre	0+	HeartRep1	nonFlGenes	2701	0.956106
ONT	Pre	0+	Heart-TSORep1	flGenes	149	0.0169878
ONT	Pre	0+	Heart-TSORep1	nonFlGenes	8622	0.983012
ONT	Pre	0+	LiverRep1	flGenes	97	0.0590024
ONT	Pre	0+	LiverRep1	nonFlGenes	1547	0.940998
ONT	Pre	0+	OvaryRep1	flGenes	134	0.0357715
ONT	Pre	0+	OvaryRep1	nonFlGenes	3612	0.964229
ONT	Pre	0+	ShieldRep1	flGenes	149	0.0257518
ONT	Pre	0+	ShieldRep1	nonFlGenes	5637	0.974248
ONT	Pre	0+	Testis-noSS500Rep1	flGenes	155	0.0318275
ONT	Pre	0+	Testis-noSS500Rep1	nonFlGenes	4715	0.968172
ONT	Pre	0+	TestisRep1	flGenes	168	0.0281643
ONT	Pre	0+	TestisRep1	nonFlGenes	5797	0.971836
ONT	Pre	0+	Testis-TSORep1	flGenes	174	0.0136449
ONT	Pre	0+	Testis-TSORep1	nonFlGenes	12578	0.986355
