seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	flGenes	134	0.0391813
ONT	Post	0+	2-4Cell-noSS500Rep1	nonFlGenes	3286	0.960819
ONT	Post	0+	2-4CellRep1	flGenes	25	0.0104515
ONT	Post	0+	2-4CellRep1	nonFlGenes	2367	0.989548
ONT	Post	0+	2-4Cell-TSORep1	flGenes	124	0.0164544
ONT	Post	0+	2-4Cell-TSORep1	nonFlGenes	7412	0.983546
ONT	Post	0+	28hpf-noSS500Rep1	flGenes	160	0.0782014
ONT	Post	0+	28hpf-noSS500Rep1	nonFlGenes	1886	0.921799
ONT	Post	0+	28hpfRep1	flGenes	98	0.0387199
ONT	Post	0+	28hpfRep1	nonFlGenes	2433	0.96128
ONT	Post	0+	28hpf-TSORep1	flGenes	238	0.0212785
ONT	Post	0+	28hpf-TSORep1	nonFlGenes	10947	0.978722
ONT	Post	0+	BrainRep1	flGenes	57	0.0150396
ONT	Post	0+	BrainRep1	nonFlGenes	3733	0.98496
ONT	Post	0+	Heart-noSS500Rep1	flGenes	118	0.0475615
ONT	Post	0+	Heart-noSS500Rep1	nonFlGenes	2363	0.952439
ONT	Post	0+	HeartRep1	flGenes	69	0.0309695
ONT	Post	0+	HeartRep1	nonFlGenes	2159	0.969031
ONT	Post	0+	Heart-TSORep1	flGenes	125	0.0197785
ONT	Post	0+	Heart-TSORep1	nonFlGenes	6195	0.980222
ONT	Post	0+	LiverRep1	flGenes	73	0.0395879
ONT	Post	0+	LiverRep1	nonFlGenes	1771	0.960412
ONT	Post	0+	OvaryRep1	flGenes	72	0.0349515
ONT	Post	0+	OvaryRep1	nonFlGenes	1988	0.965049
ONT	Post	0+	ShieldRep1	flGenes	44	0.0197487
ONT	Post	0+	ShieldRep1	nonFlGenes	2184	0.980251
ONT	Post	0+	Testis-noSS500Rep1	flGenes	135	0.0393357
ONT	Post	0+	Testis-noSS500Rep1	nonFlGenes	3297	0.960664
ONT	Post	0+	TestisRep1	flGenes	51	0.023416
ONT	Post	0+	TestisRep1	nonFlGenes	2127	0.976584
ONT	Post	0+	Testis-TSORep1	flGenes	146	0.0174892
ONT	Post	0+	Testis-TSORep1	nonFlGenes	8202	0.982511
ONT	Pre	0+	2-4Cell-noSS500Rep1	flGenes	134	0.0391813
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonFlGenes	3286	0.960819
ONT	Pre	0+	2-4CellRep1	flGenes	124	0.0256145
ONT	Pre	0+	2-4CellRep1	nonFlGenes	4717	0.974385
ONT	Pre	0+	2-4Cell-TSORep1	flGenes	124	0.0164544
ONT	Pre	0+	2-4Cell-TSORep1	nonFlGenes	7412	0.983546
ONT	Pre	0+	28hpf-noSS500Rep1	flGenes	160	0.0782014
ONT	Pre	0+	28hpf-noSS500Rep1	nonFlGenes	1886	0.921799
ONT	Pre	0+	28hpfRep1	flGenes	185	0.0872642
ONT	Pre	0+	28hpfRep1	nonFlGenes	1935	0.912736
ONT	Pre	0+	28hpf-TSORep1	flGenes	238	0.0212785
ONT	Pre	0+	28hpf-TSORep1	nonFlGenes	10947	0.978722
ONT	Pre	0+	BrainRep1	flGenes	181	0.0356299
ONT	Pre	0+	BrainRep1	nonFlGenes	4899	0.96437
ONT	Pre	0+	Heart-noSS500Rep1	flGenes	118	0.0475615
ONT	Pre	0+	Heart-noSS500Rep1	nonFlGenes	2363	0.952439
ONT	Pre	0+	HeartRep1	flGenes	114	0.0488641
ONT	Pre	0+	HeartRep1	nonFlGenes	2219	0.951136
ONT	Pre	0+	Heart-TSORep1	flGenes	125	0.0197785
ONT	Pre	0+	Heart-TSORep1	nonFlGenes	6195	0.980222
ONT	Pre	0+	LiverRep1	flGenes	89	0.0673732
ONT	Pre	0+	LiverRep1	nonFlGenes	1232	0.932627
ONT	Pre	0+	OvaryRep1	flGenes	124	0.0392778
ONT	Pre	0+	OvaryRep1	nonFlGenes	3033	0.960722
ONT	Pre	0+	ShieldRep1	flGenes	136	0.0272218
ONT	Pre	0+	ShieldRep1	nonFlGenes	4860	0.972778
ONT	Pre	0+	Testis-noSS500Rep1	flGenes	135	0.0393357
ONT	Pre	0+	Testis-noSS500Rep1	nonFlGenes	3297	0.960664
ONT	Pre	0+	TestisRep1	flGenes	148	0.0351878
ONT	Pre	0+	TestisRep1	nonFlGenes	4058	0.964812
ONT	Pre	0+	Testis-TSORep1	flGenes	146	0.0174892
ONT	Pre	0+	Testis-TSORep1	nonFlGenes	8202	0.982511
