seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	94.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	97.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	62.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	92.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	20.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	68.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	49.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	91.1
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	94.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	100.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	23.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	72.1
ONT	Post	0+	2-4CellRep1	Base	Pr	98.4
ONT	Post	0+	2-4CellRep1	Base	Sn	61.5
ONT	Post	0+	2-4CellRep1	Exon	Pr	76.2
ONT	Post	0+	2-4CellRep1	Exon	Sn	59.1
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	44.4
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	40.0
ONT	Post	0+	2-4CellRep1	Intron	Pr	72.1
ONT	Post	0+	2-4CellRep1	Intron	Sn	55.4
ONT	Post	0+	2-4CellRep1	Locus	Pr	85.7
ONT	Post	0+	2-4CellRep1	Locus	Sn	61.1
ONT	Post	0+	2-4CellRep1	Transcript	Pr	44.8
ONT	Post	0+	2-4CellRep1	Transcript	Sn	38.2
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	94.3
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	97.8
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	62.6
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	92.5
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	19.9
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	68.3
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	52.0
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	92.0
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	90.0
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	100.0
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	21.2
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	72.1
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	98.3
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	88.0
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Pr	80.6
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Sn	85.5
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Pr	48.6
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Sn	58.3
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Pr	75.6
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Sn	80.4
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Pr	100.0
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Sn	94.4
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Pr	51.9
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Sn	60.3
ONT	Post	0+	28hpfRep1	Base	Pr	97.1
ONT	Post	0+	28hpfRep1	Base	Sn	40.4
ONT	Post	0+	28hpfRep1	Exon	Pr	75.0
ONT	Post	0+	28hpfRep1	Exon	Sn	35.5
ONT	Post	0+	28hpfRep1	Intronchain	Pr	48.5
ONT	Post	0+	28hpfRep1	Intronchain	Sn	26.7
ONT	Post	0+	28hpfRep1	Intron	Pr	73.1
ONT	Post	0+	28hpfRep1	Intron	Sn	33.9
ONT	Post	0+	28hpfRep1	Locus	Pr	90.9
ONT	Post	0+	28hpfRep1	Locus	Sn	55.6
ONT	Post	0+	28hpfRep1	Transcript	Pr	50.0
ONT	Post	0+	28hpfRep1	Transcript	Sn	25.0
ONT	Post	0+	28hpf-TSORep1	Base	Pr	94.6
ONT	Post	0+	28hpf-TSORep1	Base	Sn	97.8
ONT	Post	0+	28hpf-TSORep1	Exon	Pr	63.1
ONT	Post	0+	28hpf-TSORep1	Exon	Sn	92.5
ONT	Post	0+	28hpf-TSORep1	Intronchain	Pr	21.5
ONT	Post	0+	28hpf-TSORep1	Intronchain	Sn	68.3
ONT	Post	0+	28hpf-TSORep1	Intron	Pr	52.6
ONT	Post	0+	28hpf-TSORep1	Intron	Sn	92.0
ONT	Post	0+	28hpf-TSORep1	Locus	Pr	94.7
ONT	Post	0+	28hpf-TSORep1	Locus	Sn	100.0
ONT	Post	0+	28hpf-TSORep1	Transcript	Pr	23.2
ONT	Post	0+	28hpf-TSORep1	Transcript	Sn	72.1
ONT	Post	0+	BrainRep1	Base	Pr	97.8
ONT	Post	0+	BrainRep1	Base	Sn	51.8
ONT	Post	0+	BrainRep1	Exon	Pr	63.6
ONT	Post	0+	BrainRep1	Exon	Sn	51.6
ONT	Post	0+	BrainRep1	Intronchain	Pr	26.7
ONT	Post	0+	BrainRep1	Intronchain	Sn	33.3
ONT	Post	0+	BrainRep1	Intron	Pr	57.7
ONT	Post	0+	BrainRep1	Intron	Sn	50.0
ONT	Post	0+	BrainRep1	Locus	Pr	78.6
ONT	Post	0+	BrainRep1	Locus	Sn	55.6
ONT	Post	0+	BrainRep1	Transcript	Pr	28.2
ONT	Post	0+	BrainRep1	Transcript	Sn	32.4
ONT	Post	0+	Heart-noSS500Rep1	Base	Pr	99.9
ONT	Post	0+	Heart-noSS500Rep1	Base	Sn	24.1
ONT	Post	0+	Heart-noSS500Rep1	Exon	Pr	95.5
ONT	Post	0+	Heart-noSS500Rep1	Exon	Sn	27.4
ONT	Post	0+	Heart-noSS500Rep1	Intronchain	Pr	81.8
ONT	Post	0+	Heart-noSS500Rep1	Intronchain	Sn	15.0
ONT	Post	0+	Heart-noSS500Rep1	Intron	Pr	96.8
ONT	Post	0+	Heart-noSS500Rep1	Intron	Sn	26.8
ONT	Post	0+	Heart-noSS500Rep1	Locus	Pr	87.5
ONT	Post	0+	Heart-noSS500Rep1	Locus	Sn	38.9
ONT	Post	0+	Heart-noSS500Rep1	Transcript	Pr	83.3
ONT	Post	0+	Heart-noSS500Rep1	Transcript	Sn	14.7
ONT	Post	0+	HeartRep1	Base	Pr	99.2
ONT	Post	0+	HeartRep1	Base	Sn	6.5
ONT	Post	0+	HeartRep1	Exon	Pr	72.7
ONT	Post	0+	HeartRep1	Exon	Sn	5.4
ONT	Post	0+	HeartRep1	Intronchain	Pr	60.0
ONT	Post	0+	HeartRep1	Intronchain	Sn	5.0
ONT	Post	0+	HeartRep1	Intron	Pr	71.4
ONT	Post	0+	HeartRep1	Intron	Sn	4.5
ONT	Post	0+	HeartRep1	Locus	Pr	100.0
ONT	Post	0+	HeartRep1	Locus	Sn	11.1
ONT	Post	0+	HeartRep1	Transcript	Pr	60.0
ONT	Post	0+	HeartRep1	Transcript	Sn	4.4
ONT	Post	0+	Heart-TSORep1	Base	Pr	98.5
ONT	Post	0+	Heart-TSORep1	Base	Sn	93.4
ONT	Post	0+	Heart-TSORep1	Exon	Pr	78.7
ONT	Post	0+	Heart-TSORep1	Exon	Sn	89.2
ONT	Post	0+	Heart-TSORep1	Intronchain	Pr	43.0
ONT	Post	0+	Heart-TSORep1	Intronchain	Sn	66.7
ONT	Post	0+	Heart-TSORep1	Intron	Pr	74.6
ONT	Post	0+	Heart-TSORep1	Intron	Sn	89.3
ONT	Post	0+	Heart-TSORep1	Locus	Pr	100.0
ONT	Post	0+	Heart-TSORep1	Locus	Sn	100.0
ONT	Post	0+	Heart-TSORep1	Transcript	Pr	46.2
ONT	Post	0+	Heart-TSORep1	Transcript	Sn	70.6
ONT	Post	0+	LiverRep1	Base	Pr	92.6
ONT	Post	0+	LiverRep1	Base	Sn	13.3
ONT	Post	0+	LiverRep1	Exon	Pr	75.0
ONT	Post	0+	LiverRep1	Exon	Sn	17.2
ONT	Post	0+	LiverRep1	Intronchain	Pr	37.5
ONT	Post	0+	LiverRep1	Intronchain	Sn	5.0
ONT	Post	0+	LiverRep1	Intron	Pr	81.0
ONT	Post	0+	LiverRep1	Intron	Sn	15.2
ONT	Post	0+	LiverRep1	Locus	Pr	40.0
ONT	Post	0+	LiverRep1	Locus	Sn	11.1
ONT	Post	0+	LiverRep1	Transcript	Pr	37.5
ONT	Post	0+	LiverRep1	Transcript	Sn	4.4
ONT	Post	0+	OvaryRep1	Base	Pr	99.1
ONT	Post	0+	OvaryRep1	Base	Sn	16.2
ONT	Post	0+	OvaryRep1	Exon	Pr	67.6
ONT	Post	0+	OvaryRep1	Exon	Sn	11.8
ONT	Post	0+	OvaryRep1	Intronchain	Pr	35.7
ONT	Post	0+	OvaryRep1	Intronchain	Sn	8.3
ONT	Post	0+	OvaryRep1	Intron	Pr	65.0
ONT	Post	0+	OvaryRep1	Intron	Sn	11.6
ONT	Post	0+	OvaryRep1	Locus	Pr	60.0
ONT	Post	0+	OvaryRep1	Locus	Sn	16.7
ONT	Post	0+	OvaryRep1	Transcript	Pr	33.3
ONT	Post	0+	OvaryRep1	Transcript	Sn	7.4
ONT	Post	0+	ShieldRep1	Base	Pr	96.9
ONT	Post	0+	ShieldRep1	Base	Sn	41.4
ONT	Post	0+	ShieldRep1	Exon	Pr	73.7
ONT	Post	0+	ShieldRep1	Exon	Sn	43.0
ONT	Post	0+	ShieldRep1	Intronchain	Pr	41.9
ONT	Post	0+	ShieldRep1	Intronchain	Sn	30.0
ONT	Post	0+	ShieldRep1	Intron	Pr	69.2
ONT	Post	0+	ShieldRep1	Intron	Sn	40.2
ONT	Post	0+	ShieldRep1	Locus	Pr	90.9
ONT	Post	0+	ShieldRep1	Locus	Sn	55.6
ONT	Post	0+	ShieldRep1	Transcript	Pr	43.2
ONT	Post	0+	ShieldRep1	Transcript	Sn	27.9
ONT	Post	0+	Testis-noSS500Rep1	Base	Pr	93.9
ONT	Post	0+	Testis-noSS500Rep1	Base	Sn	79.6
ONT	Post	0+	Testis-noSS500Rep1	Exon	Pr	68.0
ONT	Post	0+	Testis-noSS500Rep1	Exon	Sn	79.6
ONT	Post	0+	Testis-noSS500Rep1	Intronchain	Pr	32.2
ONT	Post	0+	Testis-noSS500Rep1	Intronchain	Sn	63.3
ONT	Post	0+	Testis-noSS500Rep1	Intron	Pr	58.9
ONT	Post	0+	Testis-noSS500Rep1	Intron	Sn	74.1
ONT	Post	0+	Testis-noSS500Rep1	Locus	Pr	88.9
ONT	Post	0+	Testis-noSS500Rep1	Locus	Sn	88.9
ONT	Post	0+	Testis-noSS500Rep1	Transcript	Pr	33.9
ONT	Post	0+	Testis-noSS500Rep1	Transcript	Sn	61.8
ONT	Post	0+	TestisRep1	Base	Pr	97.3
ONT	Post	0+	TestisRep1	Base	Sn	32.5
ONT	Post	0+	TestisRep1	Exon	Pr	75.7
ONT	Post	0+	TestisRep1	Exon	Sn	32.8
ONT	Post	0+	TestisRep1	Intronchain	Pr	43.8
ONT	Post	0+	TestisRep1	Intronchain	Sn	23.3
ONT	Post	0+	TestisRep1	Intron	Pr	71.1
ONT	Post	0+	TestisRep1	Intron	Sn	28.6
ONT	Post	0+	TestisRep1	Locus	Pr	88.9
ONT	Post	0+	TestisRep1	Locus	Sn	44.4
ONT	Post	0+	TestisRep1	Transcript	Pr	45.5
ONT	Post	0+	TestisRep1	Transcript	Sn	22.1
ONT	Post	0+	Testis-TSORep1	Base	Pr	94.8
ONT	Post	0+	Testis-TSORep1	Base	Sn	88.5
ONT	Post	0+	Testis-TSORep1	Exon	Pr	79.2
ONT	Post	0+	Testis-TSORep1	Exon	Sn	88.2
ONT	Post	0+	Testis-TSORep1	Intronchain	Pr	48.8
ONT	Post	0+	Testis-TSORep1	Intronchain	Sn	66.7
ONT	Post	0+	Testis-TSORep1	Intron	Pr	75.4
ONT	Post	0+	Testis-TSORep1	Intron	Sn	87.5
ONT	Post	0+	Testis-TSORep1	Locus	Pr	90.0
ONT	Post	0+	Testis-TSORep1	Locus	Sn	100.0
ONT	Post	0+	Testis-TSORep1	Transcript	Pr	51.1
ONT	Post	0+	Testis-TSORep1	Transcript	Sn	69.1
ONT	Pre	0+	2-4Cell-noSS500Rep1	Base	Pr	94.4
ONT	Pre	0+	2-4Cell-noSS500Rep1	Base	Sn	97.8
ONT	Pre	0+	2-4Cell-noSS500Rep1	Exon	Pr	62.8
ONT	Pre	0+	2-4Cell-noSS500Rep1	Exon	Sn	92.5
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	20.7
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	68.3
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intron	Pr	49.5
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intron	Sn	91.1
ONT	Pre	0+	2-4Cell-noSS500Rep1	Locus	Pr	94.7
ONT	Pre	0+	2-4Cell-noSS500Rep1	Locus	Sn	100.0
ONT	Pre	0+	2-4Cell-noSS500Rep1	Transcript	Pr	23.6
ONT	Pre	0+	2-4Cell-noSS500Rep1	Transcript	Sn	72.1
ONT	Pre	0+	2-4CellRep1	Base	Pr	94.2
ONT	Pre	0+	2-4CellRep1	Base	Sn	97.2
ONT	Pre	0+	2-4CellRep1	Exon	Pr	55.2
ONT	Pre	0+	2-4CellRep1	Exon	Sn	91.4
ONT	Pre	0+	2-4CellRep1	Intronchain	Pr	14.4
ONT	Pre	0+	2-4CellRep1	Intronchain	Sn	66.7
ONT	Pre	0+	2-4CellRep1	Intron	Pr	42.7
ONT	Pre	0+	2-4CellRep1	Intron	Sn	91.1
ONT	Pre	0+	2-4CellRep1	Locus	Pr	94.4
ONT	Pre	0+	2-4CellRep1	Locus	Sn	94.4
ONT	Pre	0+	2-4CellRep1	Transcript	Pr	16.3
ONT	Pre	0+	2-4CellRep1	Transcript	Sn	69.1
ONT	Pre	0+	2-4Cell-TSORep1	Base	Pr	94.3
ONT	Pre	0+	2-4Cell-TSORep1	Base	Sn	97.8
ONT	Pre	0+	2-4Cell-TSORep1	Exon	Pr	62.6
ONT	Pre	0+	2-4Cell-TSORep1	Exon	Sn	92.5
ONT	Pre	0+	2-4Cell-TSORep1	Intronchain	Pr	19.9
ONT	Pre	0+	2-4Cell-TSORep1	Intronchain	Sn	68.3
ONT	Pre	0+	2-4Cell-TSORep1	Intron	Pr	52.0
ONT	Pre	0+	2-4Cell-TSORep1	Intron	Sn	92.0
ONT	Pre	0+	2-4Cell-TSORep1	Locus	Pr	90.0
ONT	Pre	0+	2-4Cell-TSORep1	Locus	Sn	100.0
ONT	Pre	0+	2-4Cell-TSORep1	Transcript	Pr	21.2
ONT	Pre	0+	2-4Cell-TSORep1	Transcript	Sn	72.1
ONT	Pre	0+	28hpf-noSS500Rep1	Base	Pr	98.3
ONT	Pre	0+	28hpf-noSS500Rep1	Base	Sn	88.0
ONT	Pre	0+	28hpf-noSS500Rep1	Exon	Pr	80.6
ONT	Pre	0+	28hpf-noSS500Rep1	Exon	Sn	85.5
ONT	Pre	0+	28hpf-noSS500Rep1	Intronchain	Pr	48.6
ONT	Pre	0+	28hpf-noSS500Rep1	Intronchain	Sn	58.3
ONT	Pre	0+	28hpf-noSS500Rep1	Intron	Pr	75.6
ONT	Pre	0+	28hpf-noSS500Rep1	Intron	Sn	80.4
ONT	Pre	0+	28hpf-noSS500Rep1	Locus	Pr	100.0
ONT	Pre	0+	28hpf-noSS500Rep1	Locus	Sn	94.4
ONT	Pre	0+	28hpf-noSS500Rep1	Transcript	Pr	51.9
ONT	Pre	0+	28hpf-noSS500Rep1	Transcript	Sn	60.3
ONT	Pre	0+	28hpfRep1	Base	Pr	98.3
ONT	Pre	0+	28hpfRep1	Base	Sn	87.6
ONT	Pre	0+	28hpfRep1	Exon	Pr	80.7
ONT	Pre	0+	28hpfRep1	Exon	Sn	87.1
ONT	Pre	0+	28hpfRep1	Intronchain	Pr	46.4
ONT	Pre	0+	28hpfRep1	Intronchain	Sn	65.0
ONT	Pre	0+	28hpfRep1	Intron	Pr	75.2
ONT	Pre	0+	28hpfRep1	Intron	Sn	86.6
ONT	Pre	0+	28hpfRep1	Locus	Pr	100.0
ONT	Pre	0+	28hpfRep1	Locus	Sn	83.3
