seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	nonPolyA	2778853	0.428469
ONT	Post	0+	2-4Cell-noSS500Rep1	polyA	3706684	0.571531
ONT	Post	0+	2-4CellRep1	nonPolyA	4484225	0.44707
ONT	Post	0+	2-4CellRep1	polyA	5546021	0.55293
ONT	Post	0+	2-4Cell-TSORep1	nonPolyA	2743352	0.231376
ONT	Post	0+	2-4Cell-TSORep1	polyA	9113327	0.768624
ONT	Post	0+	28hpf-noSS500Rep1	nonPolyA	2421721	0.355762
ONT	Post	0+	28hpf-noSS500Rep1	polyA	4385411	0.644238
ONT	Post	0+	28hpfRep1	nonPolyA	5404395	0.517583
ONT	Post	0+	28hpfRep1	polyA	5037198	0.482417
ONT	Post	0+	28hpf-TSORep1	nonPolyA	3566528	0.217315
ONT	Post	0+	28hpf-TSORep1	polyA	12845242	0.782685
ONT	Post	0+	BrainRep1	nonPolyA	11436791	0.572018
ONT	Post	0+	BrainRep1	polyA	8556971	0.427982
ONT	Post	0+	Heart-noSS500Rep1	nonPolyA	3020201	0.224328
ONT	Post	0+	Heart-noSS500Rep1	polyA	10443111	0.775672
ONT	Post	0+	HeartRep1	nonPolyA	6245854	0.587057
ONT	Post	0+	HeartRep1	polyA	4393405	0.412943
ONT	Post	0+	Heart-TSORep1	nonPolyA	1684588	0.220337
ONT	Post	0+	Heart-TSORep1	polyA	5960921	0.779663
ONT	Post	0+	LiverRep1	nonPolyA	6415620	0.454255
ONT	Post	0+	LiverRep1	polyA	7707761	0.545745
ONT	Post	0+	OvaryRep1	nonPolyA	2651982	0.284596
ONT	Post	0+	OvaryRep1	polyA	6666414	0.715404
ONT	Post	0+	ShieldRep1	nonPolyA	3001641	0.516672
ONT	Post	0+	ShieldRep1	polyA	2807924	0.483328
ONT	Post	0+	Testis-noSS500Rep1	nonPolyA	3025444	0.33706
ONT	Post	0+	Testis-noSS500Rep1	polyA	5950528	0.66294
ONT	Post	0+	TestisRep1	nonPolyA	3537352	0.367156
ONT	Post	0+	TestisRep1	polyA	6097107	0.632844
ONT	Post	0+	Testis-TSORep1	nonPolyA	1375594	0.250287
ONT	Post	0+	Testis-TSORep1	polyA	4120473	0.749713
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonPolyA	2778853	0.428469
ONT	Pre	0+	2-4Cell-noSS500Rep1	polyA	3706684	0.571531
ONT	Pre	0+	2-4CellRep1	nonPolyA	3856967	0.296655
ONT	Pre	0+	2-4CellRep1	polyA	9144566	0.703345
ONT	Pre	0+	2-4Cell-TSORep1	nonPolyA	2743352	0.231376
ONT	Pre	0+	2-4Cell-TSORep1	polyA	9113327	0.768624
ONT	Pre	0+	28hpf-noSS500Rep1	nonPolyA	2421721	0.355762
ONT	Pre	0+	28hpf-noSS500Rep1	polyA	4385411	0.644238
ONT	Pre	0+	28hpfRep1	nonPolyA	1620325	0.236262
ONT	Pre	0+	28hpfRep1	polyA	5237848	0.763738
ONT	Pre	0+	28hpf-TSORep1	nonPolyA	3566528	0.217315
ONT	Pre	0+	28hpf-TSORep1	polyA	12845242	0.782685
ONT	Pre	0+	BrainRep1	nonPolyA	3227260	0.277332
ONT	Pre	0+	BrainRep1	polyA	8409551	0.722668
ONT	Pre	0+	Heart-noSS500Rep1	nonPolyA	3020201	0.224328
ONT	Pre	0+	Heart-noSS500Rep1	polyA	10443111	0.775672
ONT	Pre	0+	HeartRep1	nonPolyA	2939362	0.243505
ONT	Pre	0+	HeartRep1	polyA	9131701	0.756495
ONT	Pre	0+	Heart-TSORep1	nonPolyA	1684588	0.220337
ONT	Pre	0+	Heart-TSORep1	polyA	5960921	0.779663
ONT	Pre	0+	LiverRep1	nonPolyA	3103423	0.224855
ONT	Pre	0+	LiverRep1	polyA	10698478	0.775145
ONT	Pre	0+	OvaryRep1	nonPolyA	1939256	0.202921
ONT	Pre	0+	OvaryRep1	polyA	7617436	0.797079
ONT	Pre	0+	ShieldRep1	nonPolyA	2651801	0.232818
ONT	Pre	0+	ShieldRep1	polyA	8738222	0.767182
ONT	Pre	0+	Testis-noSS500Rep1	nonPolyA	3025444	0.33706
ONT	Pre	0+	Testis-noSS500Rep1	polyA	5950528	0.66294
ONT	Pre	0+	TestisRep1	nonPolyA	2514250	0.214583
ONT	Pre	0+	TestisRep1	polyA	9202655	0.785417
ONT	Pre	0+	Testis-TSORep1	nonPolyA	1375594	0.250287
ONT	Pre	0+	Testis-TSORep1	polyA	4120473	0.749713
