seqTech	capDesign	sizeFrac	sampleRep	biotype	readOverlapsCount	readOverlapsPercent
ONT	Post	0+	2-4Cell-noSS500Rep1	lncRNA	208332	0.0317975
ONT	Post	0+	2-4Cell-noSS500Rep1	miRNA	49	7.47883e-06
ONT	Post	0+	2-4Cell-noSS500Rep1	misc_RNA	1254	0.000191397
ONT	Post	0+	2-4Cell-noSS500Rep1	nonExonic	111508	0.0170194
ONT	Post	0+	2-4Cell-noSS500Rep1	protein_coding	6227189	0.95045
ONT	Post	0+	2-4Cell-noSS500Rep1	pseudogene	3396	0.000518329
ONT	Post	0+	2-4Cell-noSS500Rep1	rRNA	101	1.54155e-05
ONT	Post	0+	2-4CellRep1	lncRNA	4699666	0.480839
ONT	Post	0+	2-4CellRep1	miRNA	4766	0.000487626
ONT	Post	0+	2-4CellRep1	misc_RNA	17695	0.00181044
ONT	Post	0+	2-4CellRep1	nonExonic	2317475	0.237109
ONT	Post	0+	2-4CellRep1	protein_coding	2478910	0.253626
ONT	Post	0+	2-4CellRep1	pseudogene	255071	0.0260972
ONT	Post	0+	2-4CellRep1	rRNA	303	3.1001e-05
ONT	Post	0+	2-4Cell-TSORep1	lncRNA	292296	0.0243026
ONT	Post	0+	2-4Cell-TSORep1	miRNA	54	4.48977e-06
ONT	Post	0+	2-4Cell-TSORep1	misc_RNA	1035	8.60539e-05
ONT	Post	0+	2-4Cell-TSORep1	nonExonic	543963	0.0452272
ONT	Post	0+	2-4Cell-TSORep1	protein_coding	11175306	0.929158
ONT	Post	0+	2-4Cell-TSORep1	pseudogene	12876	0.00107056
ONT	Post	0+	2-4Cell-TSORep1	rRNA	1815	0.000150906
ONT	Post	0+	28hpf-noSS500Rep1	lncRNA	271249	0.0393383
ONT	Post	0+	28hpf-noSS500Rep1	miRNA	182	2.63949e-05
ONT	Post	0+	28hpf-noSS500Rep1	misc_RNA	1608	0.000233203
ONT	Post	0+	28hpf-noSS500Rep1	nonExonic	102808	0.0149099
ONT	Post	0+	28hpf-noSS500Rep1	protein_coding	6516544	0.945073
ONT	Post	0+	28hpf-noSS500Rep1	pseudogene	2855	0.000414051
ONT	Post	0+	28hpf-noSS500Rep1	rRNA	36	5.22096e-06
ONT	Post	0+	28hpfRep1	lncRNA	5164008	0.487366
ONT	Post	0+	28hpfRep1	miRNA	18763	0.00177081
ONT	Post	0+	28hpfRep1	misc_RNA	23977	0.00226289
ONT	Post	0+	28hpfRep1	nonExonic	1329009	0.125429
ONT	Post	0+	28hpfRep1	protein_coding	3849966	0.36335
ONT	Post	0+	28hpfRep1	pseudogene	209892	0.0198091
ONT	Post	0+	28hpfRep1	rRNA	125	1.17972e-05
ONT	Post	0+	28hpf-TSORep1	lncRNA	714561	0.0430262
ONT	Post	0+	28hpf-TSORep1	miRNA	4278	0.000257593
ONT	Post	0+	28hpf-TSORep1	misc_RNA	4955	0.000298358
ONT	Post	0+	28hpf-TSORep1	nonExonic	1785895	0.107535
ONT	Post	0+	28hpf-TSORep1	protein_coding	14075335	0.847525
ONT	Post	0+	28hpf-TSORep1	pseudogene	19825	0.00119373
ONT	Post	0+	28hpf-TSORep1	rRNA	2719	0.000163721
ONT	Post	0+	BrainRep1	lncRNA	11782200	0.602249
ONT	Post	0+	BrainRep1	miRNA	48860	0.00249749
ONT	Post	0+	BrainRep1	misc_RNA	9250	0.000472815
ONT	Post	0+	BrainRep1	nonExonic	4007252	0.204831
ONT	Post	0+	BrainRep1	protein_coding	3580670	0.183026
ONT	Post	0+	BrainRep1	pseudogene	135374	0.00691966
ONT	Post	0+	BrainRep1	rRNA	67	3.42471e-06
ONT	Post	0+	Heart-noSS500Rep1	lncRNA	541013	0.0393918
ONT	Post	0+	Heart-noSS500Rep1	miRNA	213	1.55088e-05
ONT	Post	0+	Heart-noSS500Rep1	misc_RNA	1036	7.54324e-05
ONT	Post	0+	Heart-noSS500Rep1	nonExonic	165832	0.0120744
ONT	Post	0+	Heart-noSS500Rep1	protein_coding	13018025	0.947858
ONT	Post	0+	Heart-noSS500Rep1	pseudogene	7909	0.000575864
ONT	Post	0+	Heart-noSS500Rep1	rRNA	129	9.39264e-06
ONT	Post	0+	HeartRep1	lncRNA	5797301	0.533051
ONT	Post	0+	HeartRep1	miRNA	6917	0.000636005
ONT	Post	0+	HeartRep1	misc_RNA	2325	0.000213779
ONT	Post	0+	HeartRep1	nonExonic	1138359	0.10467
ONT	Post	0+	HeartRep1	protein_coding	3755824	0.345341
ONT	Post	0+	HeartRep1	pseudogene	174823	0.0160746
ONT	Post	0+	HeartRep1	rRNA	147	1.35164e-05
ONT	Post	0+	Heart-TSORep1	lncRNA	286137	0.0368722
ONT	Post	0+	Heart-TSORep1	miRNA	1344	0.000173191
ONT	Post	0+	Heart-TSORep1	misc_RNA	1379	0.000177701
ONT	Post	0+	Heart-TSORep1	nonExonic	933739	0.120324
ONT	Post	0+	Heart-TSORep1	protein_coding	6519788	0.840153
ONT	Post	0+	Heart-TSORep1	pseudogene	16580	0.00213653
ONT	Post	0+	Heart-TSORep1	rRNA	1270	0.000163655
ONT	Post	0+	LiverRep1	lncRNA	5460521	0.375459
ONT	Post	0+	LiverRep1	miRNA	1493	0.000102657
ONT	Post	0+	LiverRep1	misc_RNA	8928	0.000613879
ONT	Post	0+	LiverRep1	nonExonic	1051645	0.0723099
ONT	Post	0+	LiverRep1	protein_coding	7220000	0.496439
ONT	Post	0+	LiverRep1	pseudogene	799913	0.0550011
ONT	Post	0+	LiverRep1	rRNA	1084	7.45346e-05
ONT	Post	0+	OvaryRep1	lncRNA	4478445	0.475752
ONT	Post	0+	OvaryRep1	miRNA	1654	0.000175707
ONT	Post	0+	OvaryRep1	misc_RNA	5321	0.000565258
ONT	Post	0+	OvaryRep1	nonExonic	2275147	0.241692
ONT	Post	0+	OvaryRep1	protein_coding	2509992	0.26664
ONT	Post	0+	OvaryRep1	pseudogene	142296	0.0151163
ONT	Post	0+	OvaryRep1	rRNA	544	5.779e-05
ONT	Post	0+	ShieldRep1	lncRNA	3028943	0.53385
ONT	Post	0+	ShieldRep1	miRNA	19345	0.00340955
ONT	Post	0+	ShieldRep1	misc_RNA	48818	0.00860416
ONT	Post	0+	ShieldRep1	nonExonic	846305	0.149161
ONT	Post	0+	ShieldRep1	protein_coding	1627203	0.286794
ONT	Post	0+	ShieldRep1	pseudogene	103058	0.0181639
ONT	Post	0+	ShieldRep1	rRNA	96	1.692e-05
ONT	Post	0+	Testis-noSS500Rep1	lncRNA	534317	0.0581276
ONT	Post	0+	Testis-noSS500Rep1	miRNA	2594	0.000282198
ONT	Post	0+	Testis-noSS500Rep1	misc_RNA	5152	0.000560479
ONT	Post	0+	Testis-noSS500Rep1	nonExonic	695793	0.0756943
ONT	Post	0+	Testis-noSS500Rep1	protein_coding	7945848	0.864418
ONT	Post	0+	Testis-noSS500Rep1	pseudogene	8332	0.000906427
ONT	Post	0+	Testis-noSS500Rep1	rRNA	104	1.1314e-05
ONT	Post	0+	TestisRep1	lncRNA	4214343	0.430554
ONT	Post	0+	TestisRep1	miRNA	2597	0.00026532
ONT	Post	0+	TestisRep1	misc_RNA	19730	0.00201569
ONT	Post	0+	TestisRep1	nonExonic	3338045	0.341028
ONT	Post	0+	TestisRep1	protein_coding	1964772	0.200729
ONT	Post	0+	TestisRep1	pseudogene	248547	0.0253925
ONT	Post	0+	TestisRep1	rRNA	156	1.59376e-05
ONT	Post	0+	Testis-TSORep1	lncRNA	216571	0.0387809
ONT	Post	0+	Testis-TSORep1	miRNA	6376	0.00114174
ONT	Post	0+	Testis-TSORep1	misc_RNA	3038	0.000544008
ONT	Post	0+	Testis-TSORep1	nonExonic	968868	0.173493
ONT	Post	0+	Testis-TSORep1	protein_coding	4379758	0.784274
ONT	Post	0+	Testis-TSORep1	pseudogene	9181	0.00164402
ONT	Post	0+	Testis-TSORep1	rRNA	685	0.000122661
ONT	Pre	0+	2-4Cell-noSS500Rep1	lncRNA	208332	0.0317975
ONT	Pre	0+	2-4Cell-noSS500Rep1	miRNA	49	7.47883e-06
ONT	Pre	0+	2-4Cell-noSS500Rep1	misc_RNA	1254	0.000191397
ONT	Pre	0+	2-4Cell-noSS500Rep1	nonExonic	111508	0.0170194
ONT	Pre	0+	2-4Cell-noSS500Rep1	protein_coding	6227189	0.95045
ONT	Pre	0+	2-4Cell-noSS500Rep1	pseudogene	3396	0.000518329
ONT	Pre	0+	2-4Cell-noSS500Rep1	rRNA	101	1.54155e-05
ONT	Pre	0+	2-4CellRep1	lncRNA	432191	0.0329129
ONT	Pre	0+	2-4CellRep1	miRNA	104	7.91997e-06
ONT	Pre	0+	2-4CellRep1	misc_RNA	1425	0.000108519
ONT	Pre	0+	2-4CellRep1	nonExonic	210019	0.0159937
ONT	Pre	0+	2-4CellRep1	protein_coding	12480810	0.950458
ONT	Pre	0+	2-4CellRep1	pseudogene	6672	0.000508096
ONT	Pre	0+	2-4CellRep1	rRNA	145	1.10423e-05
ONT	Pre	0+	2-4Cell-TSORep1	lncRNA	292296	0.0243026
ONT	Pre	0+	2-4Cell-TSORep1	miRNA	54	4.48977e-06
ONT	Pre	0+	2-4Cell-TSORep1	misc_RNA	1035	8.60539e-05
ONT	Pre	0+	2-4Cell-TSORep1	nonExonic	543963	0.0452272
ONT	Pre	0+	2-4Cell-TSORep1	protein_coding	11175306	0.929158
ONT	Pre	0+	2-4Cell-TSORep1	pseudogene	12876	0.00107056
ONT	Pre	0+	2-4Cell-TSORep1	rRNA	1815	0.000150906
ONT	Pre	0+	28hpf-noSS500Rep1	lncRNA	271249	0.0393383
ONT	Pre	0+	28hpf-noSS500Rep1	miRNA	182	2.63949e-05
ONT	Pre	0+	28hpf-noSS500Rep1	misc_RNA	1608	0.000233203
ONT	Pre	0+	28hpf-noSS500Rep1	nonExonic	102808	0.0149099
ONT	Pre	0+	28hpf-noSS500Rep1	protein_coding	6516544	0.945073
ONT	Pre	0+	28hpf-noSS500Rep1	pseudogene	2855	0.000414051
ONT	Pre	0+	28hpf-noSS500Rep1	rRNA	36	5.22096e-06
ONT	Pre	0+	28hpfRep1	lncRNA	281802	0.0403186
ONT	Pre	0+	28hpfRep1	miRNA	225	3.21917e-05
ONT	Pre	0+	28hpfRep1	misc_RNA	1726	0.000246946
ONT	Pre	0+	28hpfRep1	nonExonic	101390	0.0145063
ONT	Pre	0+	28hpfRep1	protein_coding	6599652	0.94424
ONT	Pre	0+	28hpfRep1	pseudogene	4521	0.000646839
ONT	Pre	0+	28hpfRep1	rRNA	61	8.72753e-06
ONT	Pre	0+	28hpf-TSORep1	lncRNA	714561	0.0430262
ONT	Pre	0+	28hpf-TSORep1	miRNA	4278	0.000257593
ONT	Pre	0+	28hpf-TSORep1	misc_RNA	4955	0.000298358
ONT	Pre	0+	28hpf-TSORep1	nonExonic	1785895	0.107535
ONT	Pre	0+	28hpf-TSORep1	protein_coding	14075335	0.847525
ONT	Pre	0+	28hpf-TSORep1	pseudogene	19825	0.00119373
ONT	Pre	0+	28hpf-TSORep1	rRNA	2719	0.000163721
ONT	Pre	0+	BrainRep1	lncRNA	700385	0.0595467
ONT	Pre	0+	BrainRep1	miRNA	957	8.13641e-05
ONT	Pre	0+	BrainRep1	misc_RNA	3421	0.000290853
