seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	ERCCs	12727	0.00191314
ONT	Post	0+	2-4Cell-noSS500Rep1	SIRVs	7244	0.00108893
ONT	Post	0+	2-4CellRep1	ERCCs	360555	0.0356684
ONT	Post	0+	2-4CellRep1	SIRVs	2541	0.000251372
ONT	Post	0+	2-4Cell-TSORep1	ERCCs	6834	0.00056574
ONT	Post	0+	2-4Cell-TSORep1	SIRVs	8593	0.000711356
ONT	Post	0+	28hpf-noSS500Rep1	ERCCs	2180	0.000317073
ONT	Post	0+	28hpf-noSS500Rep1	SIRVs	1359	0.000197662
ONT	Post	0+	28hpfRep1	ERCCs	42594	0.00404378
ONT	Post	0+	28hpfRep1	SIRVs	1000	9.49379e-05
ONT	Post	0+	28hpf-TSORep1	ERCCs	5598	0.000335608
ONT	Post	0+	28hpf-TSORep1	SIRVs	7117	0.000426675
ONT	Post	0+	BrainRep1	ERCCs	569866	0.0283022
ONT	Post	0+	BrainRep1	SIRVs	5204	0.000258455
ONT	Post	0+	Heart-noSS500Rep1	ERCCs	113	8.29798e-06
ONT	Post	0+	Heart-noSS500Rep1	SIRVs	58	4.25914e-06
ONT	Post	0+	HeartRep1	ERCCs	3198	0.000297548
ONT	Post	0+	HeartRep1	SIRVs	53	4.93123e-06
ONT	Post	0+	Heart-TSORep1	ERCCs	1706	0.000219866
ONT	Post	0+	Heart-TSORep1	SIRVs	2222	0.000286367
ONT	Post	0+	LiverRep1	ERCCs	3504	0.000246262
ONT	Post	0+	LiverRep1	SIRVs	86	6.04411e-06
ONT	Post	0+	OvaryRep1	ERCCs	24831	0.00263701
ONT	Post	0+	OvaryRep1	SIRVs	346	3.67446e-05
ONT	Post	0+	ShieldRep1	ERCCs	206333	0.035266
ONT	Post	0+	ShieldRep1	SIRVs	1609	0.000275007
ONT	Post	0+	Testis-noSS500Rep1	ERCCs	5573	0.000613489
ONT	Post	0+	Testis-noSS500Rep1	SIRVs	3318	0.000365253
ONT	Post	0+	TestisRep1	ERCCs	48066	0.00494562
ONT	Post	0+	TestisRep1	SIRVs	914	9.40436e-05
ONT	Post	0+	Testis-TSORep1	ERCCs	978	0.000174268
ONT	Post	0+	Testis-TSORep1	SIRVs	1311	0.000233605
ONT	Pre	0+	2-4Cell-noSS500Rep1	ERCCs	12727	0.00191314
ONT	Pre	0+	2-4Cell-noSS500Rep1	SIRVs	7244	0.00108893
ONT	Pre	0+	2-4CellRep1	ERCCs	27644	0.00207156
ONT	Pre	0+	2-4CellRep1	SIRVs	15545	0.0011649
ONT	Pre	0+	2-4Cell-TSORep1	ERCCs	6834	0.00056574
ONT	Pre	0+	2-4Cell-TSORep1	SIRVs	8593	0.000711356
ONT	Pre	0+	28hpf-noSS500Rep1	ERCCs	2180	0.000317073
ONT	Pre	0+	28hpf-noSS500Rep1	SIRVs	1359	0.000197662
ONT	Pre	0+	28hpfRep1	ERCCs	2633	0.00037942
ONT	Pre	0+	28hpfRep1	SIRVs	1361	0.000196123
ONT	Pre	0+	28hpf-TSORep1	ERCCs	5598	0.000335608
ONT	Pre	0+	28hpf-TSORep1	SIRVs	7117	0.000426675
ONT	Pre	0+	BrainRep1	ERCCs	19139	0.00162404
ONT	Pre	0+	BrainRep1	SIRVs	9690	0.000822243
ONT	Pre	0+	Heart-noSS500Rep1	ERCCs	113	8.29798e-06
ONT	Pre	0+	Heart-noSS500Rep1	SIRVs	58	4.25914e-06
ONT	Pre	0+	HeartRep1	ERCCs	79	6.46813e-06
ONT	Pre	0+	HeartRep1	SIRVs	44	3.6025e-06
ONT	Pre	0+	Heart-TSORep1	ERCCs	1706	0.000219866
ONT	Pre	0+	Heart-TSORep1	SIRVs	2222	0.000286367
ONT	Pre	0+	LiverRep1	ERCCs	66	4.70435e-06
ONT	Pre	0+	LiverRep1	SIRVs	43	3.06495e-06
ONT	Pre	0+	OvaryRep1	ERCCs	2028	0.000206985
ONT	Pre	0+	OvaryRep1	SIRVs	1042	0.00010635
ONT	Pre	0+	ShieldRep1	ERCCs	20758	0.00179793
ONT	Pre	0+	ShieldRep1	SIRVs	11486	0.000994846
ONT	Pre	0+	Testis-noSS500Rep1	ERCCs	5573	0.000613489
ONT	Pre	0+	Testis-noSS500Rep1	SIRVs	3318	0.000365253
ONT	Pre	0+	TestisRep1	ERCCs	7226	0.000609973
ONT	Pre	0+	TestisRep1	SIRVs	4119	0.0003477
ONT	Pre	0+	Testis-TSORep1	ERCCs	978	0.000174268
ONT	Pre	0+	Testis-TSORep1	SIRVs	1311	0.000233605
