seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	intergenic	937	0.560407
ONT	Post	0+	2-4Cell-noSS500Rep1	intronic	735	0.439593
ONT	Post	0+	2-4CellRep1	intergenic	1540	0.598756
ONT	Post	0+	2-4CellRep1	intronic	1032	0.401244
ONT	Post	0+	2-4Cell-TSORep1	intergenic	2413	0.44178
ONT	Post	0+	2-4Cell-TSORep1	intronic	3049	0.55822
ONT	Post	0+	28hpf-noSS500Rep1	intergenic	889	0.638649
ONT	Post	0+	28hpf-noSS500Rep1	intronic	503	0.361351
ONT	Post	0+	28hpfRep1	intergenic	2471	0.615749
ONT	Post	0+	28hpfRep1	intronic	1542	0.384251
ONT	Post	0+	28hpf-TSORep1	intergenic	8608	0.388886
ONT	Post	0+	28hpf-TSORep1	intronic	13527	0.611114
ONT	Post	0+	BrainRep1	intergenic	4616	0.568753
ONT	Post	0+	BrainRep1	intronic	3500	0.431247
ONT	Post	0+	Heart-noSS500Rep1	intergenic	1024	0.529199
ONT	Post	0+	Heart-noSS500Rep1	intronic	911	0.470801
ONT	Post	0+	HeartRep1	intergenic	2076	0.583966
ONT	Post	0+	HeartRep1	intronic	1479	0.416034
ONT	Post	0+	Heart-TSORep1	intergenic	3526	0.478556
ONT	Post	0+	Heart-TSORep1	intronic	3842	0.521444
ONT	Post	0+	LiverRep1	intergenic	1513	0.55748
ONT	Post	0+	LiverRep1	intronic	1201	0.44252
ONT	Post	0+	OvaryRep1	intergenic	2340	0.61872
ONT	Post	0+	OvaryRep1	intronic	1442	0.38128
ONT	Post	0+	ShieldRep1	intergenic	2212	0.584721
ONT	Post	0+	ShieldRep1	intronic	1571	0.415279
ONT	Post	0+	Testis-noSS500Rep1	intergenic	3438	0.511912
ONT	Post	0+	Testis-noSS500Rep1	intronic	3278	0.488088
ONT	Post	0+	TestisRep1	intergenic	4383	0.561779
ONT	Post	0+	TestisRep1	intronic	3419	0.438221
ONT	Post	0+	Testis-TSORep1	intergenic	6874	0.547162
ONT	Post	0+	Testis-TSORep1	intronic	5689	0.452838
ONT	Pre	0+	2-4Cell-noSS500Rep1	intergenic	937	0.560407
ONT	Pre	0+	2-4Cell-noSS500Rep1	intronic	735	0.439593
ONT	Pre	0+	2-4CellRep1	intergenic	1451	0.515636
ONT	Pre	0+	2-4CellRep1	intronic	1363	0.484364
ONT	Pre	0+	2-4Cell-TSORep1	intergenic	2413	0.44178
ONT	Pre	0+	2-4Cell-TSORep1	intronic	3049	0.55822
ONT	Pre	0+	28hpf-noSS500Rep1	intergenic	889	0.638649
ONT	Pre	0+	28hpf-noSS500Rep1	intronic	503	0.361351
ONT	Pre	0+	28hpfRep1	intergenic	1077	0.625073
ONT	Pre	0+	28hpfRep1	intronic	646	0.374927
ONT	Pre	0+	28hpf-TSORep1	intergenic	8608	0.388886
ONT	Pre	0+	28hpf-TSORep1	intronic	13527	0.611114
ONT	Pre	0+	BrainRep1	intergenic	3495	0.583667
ONT	Pre	0+	BrainRep1	intronic	2493	0.416333
ONT	Pre	0+	Heart-noSS500Rep1	intergenic	1024	0.529199
ONT	Pre	0+	Heart-noSS500Rep1	intronic	911	0.470801
ONT	Pre	0+	HeartRep1	intergenic	1057	0.563733
ONT	Pre	0+	HeartRep1	intronic	818	0.436267
ONT	Pre	0+	Heart-TSORep1	intergenic	3526	0.478556
ONT	Pre	0+	Heart-TSORep1	intronic	3842	0.521444
ONT	Pre	0+	LiverRep1	intergenic	601	0.514555
ONT	Pre	0+	LiverRep1	intronic	567	0.485445
ONT	Pre	0+	OvaryRep1	intergenic	1516	0.535122
ONT	Pre	0+	OvaryRep1	intronic	1317	0.464878
ONT	Pre	0+	ShieldRep1	intergenic	2860	0.558049
ONT	Pre	0+	ShieldRep1	intronic	2265	0.441951
ONT	Pre	0+	Testis-noSS500Rep1	intergenic	3438	0.511912
ONT	Pre	0+	Testis-noSS500Rep1	intronic	3278	0.488088
ONT	Pre	0+	TestisRep1	intergenic	4333	0.496448
ONT	Pre	0+	TestisRep1	intronic	4395	0.503552
ONT	Pre	0+	Testis-TSORep1	intergenic	6874	0.547162
ONT	Pre	0+	Testis-TSORep1	intronic	5689	0.452838
