seqTech	capDesign	sizeFrac	sampleRep	total	countMono	countRepeats	minLengthAllTms	medianLengthAllTms	maxLengthAllTms	minLengthMonoTms	medianLengthMonoTms	maxLengthMonoTms	minLengthSplicedTms	medianLengthSplicedTms	maxLengthSplicedTms	percentMono	percentRepeats
ONT	Post	0+	2-4Cell-noSS500Rep1	1075	475	988	84	727	4284	84	391	2744	153	850	4284	0.44186	0.91907
ONT	Post	0+	2-4CellRep1	1236	454	1163	96	827	4795	96	715	4795	169	840	4175	0.367314	0.940939
ONT	Post	0+	2-4Cell-TSORep1	1897	1199	1693	94	690	10351	94	455	10351	124	989.5	6906	0.632051	0.892462
ONT	Post	0+	28hpf-noSS500Rep1	1019	459	957	86	791.5	4107	86	626	4107	168	911	3884	0.450442	0.939156
ONT	Post	0+	28hpfRep1	2144	903	2017	89	963.5	4247	89	833	4237	124	1021	4247	0.421175	0.940765
ONT	Post	0+	28hpf-TSORep1	6117	4811	5607	81	836	10351	81	727	10351	125	1075	8732	0.786497	0.916626
ONT	Post	0+	BrainRep1	2709	1533	2514	92	781	4051	92	710	3737	125	839	4051	0.565891	0.928018
ONT	Post	0+	Heart-noSS500Rep1	1109	463	1044	91	834	4426	104	722.5	4426	91	898	4326	0.417493	0.941389
ONT	Post	0+	HeartRep1	1639	683	1548	89	933.5	4506	121	913.5	4425	89	941	4506	0.416718	0.944478
ONT	Post	0+	Heart-TSORep1	2167	1586	1982	80	826.5	10404	80	715.5	10404	146	1030	7053	0.731887	0.914629
ONT	Post	0+	LiverRep1	1300	446	1217	91	905	4341	123	803.5	4341	91	936.5	4029	0.343077	0.936154
ONT	Post	0+	OvaryRep1	1777	562	1693	80	788	4315	80	722	2824	87	793.5	4315	0.316263	0.952729
ONT	Post	0+	ShieldRep1	2003	934	1882	114	842	5945	114	688.5	4051	180	909	5945	0.466301	0.939591
ONT	Post	0+	Testis-noSS500Rep1	3345	1181	3111	89	643	4345	89	534.5	4345	91	685	2884	0.353064	0.930045
ONT	Post	0+	TestisRep1	2740	1015	2591	96	767	3842	96	608	3842	143	787	3380	0.370438	0.94562
ONT	Post	0+	Testis-TSORep1	4278	2627	3894	80	681	5372	80	558.5	5163	131	811	5372	0.614072	0.910238
ONT	Pre	0+	2-4Cell-noSS500Rep1	1075	475	988	84	727	4284	84	391	2744	153	850	4284	0.44186	0.91907
ONT	Pre	0+	2-4CellRep1	1704	734	1577	92	822.5	4520	92	721	2982	188	885	4520	0.430751	0.925469
ONT	Pre	0+	2-4Cell-TSORep1	1897	1199	1693	94	690	10351	94	455	10351	124	989.5	6906	0.632051	0.892462
ONT	Pre	0+	28hpf-noSS500Rep1	1019	459	957	86	791.5	4107	86	626	4107	168	911	3884	0.450442	0.939156
ONT	Pre	0+	28hpfRep1	1285	584	1232	91	928	5729	91	870	5729	91	998	4377	0.454475	0.958755
ONT	Pre	0+	28hpf-TSORep1	6117	4811	5607	81	836	10351	81	727	10351	125	1075	8732	0.786497	0.916626
ONT	Pre	0+	BrainRep1	2897	1822	2670	88	819	4352	88	707	4352	95	941	4113	0.628926	0.921643
ONT	Pre	0+	Heart-noSS500Rep1	1109	463	1044	91	834	4426	104	722.5	4426	91	898	4326	0.417493	0.941389
ONT	Pre	0+	HeartRep1	1089	432	1028	101	872.5	5010	107	775	5010	101	923.5	4327	0.396694	0.943985
ONT	Pre	0+	Heart-TSORep1	2167	1586	1982	80	826.5	10404	80	715.5	10404	146	1030	7053	0.731887	0.914629
ONT	Pre	0+	LiverRep1	685	258	649	93	842.5	4473	105	799	4473	93	873	4326	0.376642	0.947445
ONT	Pre	0+	OvaryRep1	1785	638	1690	80	745	4520	80	708	2240	92	757.5	4520	0.357423	0.946779
ONT	Pre	0+	ShieldRep1	3436	1849	3179	86	797	6066	86	599	6066	100	937	4618	0.538126	0.925204
ONT	Pre	0+	Testis-noSS500Rep1	3345	1181	3111	89	643	4345	89	534.5	4345	91	685	2884	0.353064	0.930045
ONT	Pre	0+	TestisRep1	4355	1646	4054	80	707.5	4476	80	578	4476	91	763	4327	0.377956	0.930884
ONT	Pre	0+	Testis-TSORep1	4278	2627	3894	80	681	5372	80	558.5	5163	131	811	5372	0.614072	0.910238
