seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	intergenic	653	0.607442
ONT	Post	0+	2-4Cell-noSS500Rep1	intronic	422	0.392558
ONT	Post	0+	2-4CellRep1	intergenic	816	0.660194
ONT	Post	0+	2-4CellRep1	intronic	420	0.339806
ONT	Post	0+	2-4Cell-TSORep1	intergenic	1159	0.610965
ONT	Post	0+	2-4Cell-TSORep1	intronic	738	0.389035
ONT	Post	0+	28hpf-noSS500Rep1	intergenic	695	0.682041
ONT	Post	0+	28hpf-noSS500Rep1	intronic	324	0.317959
ONT	Post	0+	28hpfRep1	intergenic	1438	0.670709
ONT	Post	0+	28hpfRep1	intronic	706	0.329291
ONT	Post	0+	28hpf-TSORep1	intergenic	3206	0.524113
ONT	Post	0+	28hpf-TSORep1	intronic	2911	0.475887
ONT	Post	0+	BrainRep1	intergenic	1729	0.638243
ONT	Post	0+	BrainRep1	intronic	980	0.361757
ONT	Post	0+	Heart-noSS500Rep1	intergenic	647	0.583408
ONT	Post	0+	Heart-noSS500Rep1	intronic	462	0.416592
ONT	Post	0+	HeartRep1	intergenic	1058	0.645516
ONT	Post	0+	HeartRep1	intronic	581	0.354484
ONT	Post	0+	Heart-TSORep1	intergenic	1354	0.624827
ONT	Post	0+	Heart-TSORep1	intronic	813	0.375173
ONT	Post	0+	LiverRep1	intergenic	793	0.61
ONT	Post	0+	LiverRep1	intronic	507	0.39
ONT	Post	0+	OvaryRep1	intergenic	1084	0.610017
ONT	Post	0+	OvaryRep1	intronic	693	0.389983
ONT	Post	0+	ShieldRep1	intergenic	1257	0.627559
ONT	Post	0+	ShieldRep1	intronic	746	0.372441
ONT	Post	0+	Testis-noSS500Rep1	intergenic	1876	0.560837
ONT	Post	0+	Testis-noSS500Rep1	intronic	1469	0.439163
ONT	Post	0+	TestisRep1	intergenic	1647	0.601095
ONT	Post	0+	TestisRep1	intronic	1093	0.398905
ONT	Post	0+	Testis-TSORep1	intergenic	2688	0.628331
ONT	Post	0+	Testis-TSORep1	intronic	1590	0.371669
ONT	Pre	0+	2-4Cell-noSS500Rep1	intergenic	653	0.607442
ONT	Pre	0+	2-4Cell-noSS500Rep1	intronic	422	0.392558
ONT	Pre	0+	2-4CellRep1	intergenic	951	0.558099
ONT	Pre	0+	2-4CellRep1	intronic	753	0.441901
ONT	Pre	0+	2-4Cell-TSORep1	intergenic	1159	0.610965
ONT	Pre	0+	2-4Cell-TSORep1	intronic	738	0.389035
ONT	Pre	0+	28hpf-noSS500Rep1	intergenic	695	0.682041
ONT	Pre	0+	28hpf-noSS500Rep1	intronic	324	0.317959
ONT	Pre	0+	28hpfRep1	intergenic	848	0.659922
ONT	Pre	0+	28hpfRep1	intronic	437	0.340078
ONT	Pre	0+	28hpf-TSORep1	intergenic	3206	0.524113
ONT	Pre	0+	28hpf-TSORep1	intronic	2911	0.475887
ONT	Pre	0+	BrainRep1	intergenic	1765	0.609251
ONT	Pre	0+	BrainRep1	intronic	1132	0.390749
ONT	Pre	0+	Heart-noSS500Rep1	intergenic	647	0.583408
ONT	Pre	0+	Heart-noSS500Rep1	intronic	462	0.416592
ONT	Pre	0+	HeartRep1	intergenic	676	0.620753
ONT	Pre	0+	HeartRep1	intronic	413	0.379247
ONT	Pre	0+	Heart-TSORep1	intergenic	1354	0.624827
ONT	Pre	0+	Heart-TSORep1	intronic	813	0.375173
ONT	Pre	0+	LiverRep1	intergenic	393	0.573723
ONT	Pre	0+	LiverRep1	intronic	292	0.426277
ONT	Pre	0+	OvaryRep1	intergenic	953	0.533894
ONT	Pre	0+	OvaryRep1	intronic	832	0.466106
ONT	Pre	0+	ShieldRep1	intergenic	2076	0.604191
ONT	Pre	0+	ShieldRep1	intronic	1360	0.395809
ONT	Pre	0+	Testis-noSS500Rep1	intergenic	1876	0.560837
ONT	Pre	0+	Testis-noSS500Rep1	intronic	1469	0.439163
ONT	Pre	0+	TestisRep1	intergenic	2342	0.537773
ONT	Pre	0+	TestisRep1	intronic	2013	0.462227
ONT	Pre	0+	Testis-TSORep1	intergenic	2688	0.628331
ONT	Pre	0+	Testis-TSORep1	intronic	1590	0.371669
