seqTech	capDesign	sizeFrac	sampleRep	splicingStatus	partition	nt_coverage_count	nt_coverage_percent
ONT	Post	0+	2-4Cell-noSS500Rep1	all	exonOfNCT	14737606	0.820987
ONT	Post	0+	2-4Cell-noSS500Rep1	all	intergenic	1924830	0.107226
ONT	Post	0+	2-4Cell-noSS500Rep1	all	intron	1288652	0.0717868
ONT	Post	0+	2-4Cell-noSS500Rep1	spliced	exonOfNCT	14246876	0.832764
ONT	Post	0+	2-4Cell-noSS500Rep1	spliced	intergenic	1677732	0.0980675
ONT	Post	0+	2-4Cell-noSS500Rep1	spliced	intron	1183329	0.0691684
ONT	Post	0+	2-4Cell-noSS500Rep1	unspliced	exonOfNCT	1945148	0.797888
ONT	Post	0+	2-4Cell-noSS500Rep1	unspliced	intergenic	361726	0.148378
ONT	Post	0+	2-4Cell-noSS500Rep1	unspliced	intron	130996	0.0537338
ONT	Post	0+	2-4CellRep1	all	exonOfNCT	5607090	0.603186
ONT	Post	0+	2-4CellRep1	all	intergenic	2384316	0.256494
ONT	Post	0+	2-4CellRep1	all	intron	1304380	0.140319
ONT	Post	0+	2-4CellRep1	spliced	exonOfNCT	4773220	0.606846
ONT	Post	0+	2-4CellRep1	spliced	intergenic	1952471	0.248229
ONT	Post	0+	2-4CellRep1	spliced	intron	1139926	0.144925
ONT	Post	0+	2-4CellRep1	unspliced	exonOfNCT	1506843	0.655549
ONT	Post	0+	2-4CellRep1	unspliced	intergenic	582698	0.253502
ONT	Post	0+	2-4CellRep1	unspliced	intron	209055	0.090949
ONT	Post	0+	2-4Cell-TSORep1	all	exonOfNCT	23336904	0.787619
ONT	Post	0+	2-4Cell-TSORep1	all	intergenic	4263472	0.143892
ONT	Post	0+	2-4Cell-TSORep1	all	intron	2029315	0.0684892
ONT	Post	0+	2-4Cell-TSORep1	spliced	exonOfNCT	22153112	0.814677
ONT	Post	0+	2-4Cell-TSORep1	spliced	intergenic	3303665	0.121492
ONT	Post	0+	2-4Cell-TSORep1	spliced	intron	1735739	0.0638315
ONT	Post	0+	2-4Cell-TSORep1	unspliced	exonOfNCT	6266435	0.731114
ONT	Post	0+	2-4Cell-TSORep1	unspliced	intergenic	1844435	0.215193
ONT	Post	0+	2-4Cell-TSORep1	unspliced	intron	460213	0.0536937
ONT	Post	0+	28hpf-noSS500Rep1	all	exonOfNCT	11237676	0.841653
ONT	Post	0+	28hpf-noSS500Rep1	all	intergenic	1303269	0.0976092
ONT	Post	0+	28hpf-noSS500Rep1	all	intron	810963	0.0607376
ONT	Post	0+	28hpf-noSS500Rep1	spliced	exonOfNCT	10817462	0.867495
ONT	Post	0+	28hpf-noSS500Rep1	spliced	intergenic	999134	0.0801245
ONT	Post	0+	28hpf-noSS500Rep1	spliced	intron	653172	0.0523804
ONT	Post	0+	28hpf-noSS500Rep1	unspliced	exonOfNCT	1130093	0.674614
ONT	Post	0+	28hpf-noSS500Rep1	unspliced	intergenic	356911	0.213059
