seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	79.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	53.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	68.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	51.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	29.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	32.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	78.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	58.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	55.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	65.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	26.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	32.9
ONT	Post	0+	2-4CellRep1	Base	Pr	53.5
ONT	Post	0+	2-4CellRep1	Base	Sn	35.0
ONT	Post	0+	2-4CellRep1	Exon	Pr	38.2
ONT	Post	0+	2-4CellRep1	Exon	Sn	29.1
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	11.4
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	18.9
ONT	Post	0+	2-4CellRep1	Intron	Pr	48.9
ONT	Post	0+	2-4CellRep1	Intron	Sn	32.2
ONT	Post	0+	2-4CellRep1	Locus	Pr	28.3
ONT	Post	0+	2-4CellRep1	Locus	Sn	40.1
ONT	Post	0+	2-4CellRep1	Transcript	Pr	9.8
ONT	Post	0+	2-4CellRep1	Transcript	Sn	18.9
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	72.3
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	63.8
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	65.6
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	58.5
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	27.5
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	33.1
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	80.0
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	66.7
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	44.6
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	66.0
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	19.5
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	33.1
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	80.3
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	54.5
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Pr	73.4
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Sn	53.3
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Pr	38.5
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Sn	36.2
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Pr	82.0
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Sn	59.8
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Pr	63.8
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Sn	74.3
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Pr	34.4
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Sn	36.3
ONT	Post	0+	28hpfRep1	Base	Pr	55.2
ONT	Post	0+	28hpfRep1	Base	Sn	44.9
ONT	Post	0+	28hpfRep1	Exon	Pr	50.1
ONT	Post	0+	28hpfRep1	Exon	Sn	41.7
ONT	Post	0+	28hpfRep1	Intronchain	Pr	18.8
ONT	Post	0+	28hpfRep1	Intronchain	Sn	27.8
ONT	Post	0+	28hpfRep1	Intron	Pr	61.5
ONT	Post	0+	28hpfRep1	Intron	Sn	46.4
ONT	Post	0+	28hpfRep1	Locus	Pr	38.9
ONT	Post	0+	28hpfRep1	Locus	Sn	57.0
ONT	Post	0+	28hpfRep1	Transcript	Pr	16.3
ONT	Post	0+	28hpfRep1	Transcript	Sn	27.7
ONT	Post	0+	28hpf-TSORep1	Base	Pr	44.5
ONT	Post	0+	28hpf-TSORep1	Base	Sn	61.2
ONT	Post	0+	28hpf-TSORep1	Exon	Pr	56.5
ONT	Post	0+	28hpf-TSORep1	Exon	Sn	51.4
ONT	Post	0+	28hpf-TSORep1	Intronchain	Pr	26.0
ONT	Post	0+	28hpf-TSORep1	Intronchain	Sn	33.1
ONT	Post	0+	28hpf-TSORep1	Intron	Pr	79.0
ONT	Post	0+	28hpf-TSORep1	Intron	Sn	58.3
ONT	Post	0+	28hpf-TSORep1	Locus	Pr	26.0
ONT	Post	0+	28hpf-TSORep1	Locus	Sn	63.6
ONT	Post	0+	28hpf-TSORep1	Transcript	Pr	14.7
ONT	Post	0+	28hpf-TSORep1	Transcript	Sn	33.0
ONT	Post	0+	BrainRep1	Base	Pr	42.0
ONT	Post	0+	BrainRep1	Base	Sn	32.2
ONT	Post	0+	BrainRep1	Exon	Pr	34.7
ONT	Post	0+	BrainRep1	Exon	Sn	24.9
ONT	Post	0+	BrainRep1	Intronchain	Pr	11.4
ONT	Post	0+	BrainRep1	Intronchain	Sn	17.2
ONT	Post	0+	BrainRep1	Intron	Pr	47.9
ONT	Post	0+	BrainRep1	Intron	Sn	27.3
ONT	Post	0+	BrainRep1	Locus	Pr	19.0
ONT	Post	0+	BrainRep1	Locus	Sn	36.4
ONT	Post	0+	BrainRep1	Transcript	Pr	8.7
ONT	Post	0+	BrainRep1	Transcript	Sn	17.2
ONT	Post	0+	Heart-noSS500Rep1	Base	Pr	74.2
ONT	Post	0+	Heart-noSS500Rep1	Base	Sn	57.0
ONT	Post	0+	Heart-noSS500Rep1	Exon	Pr	70.6
ONT	Post	0+	Heart-noSS500Rep1	Exon	Sn	54.7
ONT	Post	0+	Heart-noSS500Rep1	Intronchain	Pr	32.9
ONT	Post	0+	Heart-noSS500Rep1	Intronchain	Sn	35.0
ONT	Post	0+	Heart-noSS500Rep1	Intron	Pr	80.0
ONT	Post	0+	Heart-noSS500Rep1	Intron	Sn	61.8
ONT	Post	0+	Heart-noSS500Rep1	Locus	Pr	59.4
ONT	Post	0+	Heart-noSS500Rep1	Locus	Sn	71.6
ONT	Post	0+	Heart-noSS500Rep1	Transcript	Pr	29.0
ONT	Post	0+	Heart-noSS500Rep1	Transcript	Sn	34.9
ONT	Post	0+	HeartRep1	Base	Pr	55.0
ONT	Post	0+	HeartRep1	Base	Sn	45.2
ONT	Post	0+	HeartRep1	Exon	Pr	51.0
ONT	Post	0+	HeartRep1	Exon	Sn	41.2
ONT	Post	0+	HeartRep1	Intronchain	Pr	18.9
ONT	Post	0+	HeartRep1	Intronchain	Sn	26.6
ONT	Post	0+	HeartRep1	Intron	Pr	62.9
ONT	Post	0+	HeartRep1	Intron	Sn	46.1
ONT	Post	0+	HeartRep1	Locus	Pr	38.6
ONT	Post	0+	HeartRep1	Locus	Sn	55.2
ONT	Post	0+	HeartRep1	Transcript	Pr	16.4
ONT	Post	0+	HeartRep1	Transcript	Sn	26.5
ONT	Post	0+	Heart-TSORep1	Base	Pr	57.9
ONT	Post	0+	Heart-TSORep1	Base	Sn	56.4
ONT	Post	0+	Heart-TSORep1	Exon	Pr	65.8
ONT	Post	0+	Heart-TSORep1	Exon	Sn	49.4
ONT	Post	0+	Heart-TSORep1	Intronchain	Pr	35.4
ONT	Post	0+	Heart-TSORep1	Intronchain	Sn	31.2
ONT	Post	0+	Heart-TSORep1	Intron	Pr	84.2
ONT	Post	0+	Heart-TSORep1	Intron	Sn	55.7
ONT	Post	0+	Heart-TSORep1	Locus	Pr	38.3
ONT	Post	0+	Heart-TSORep1	Locus	Sn	65.0
ONT	Post	0+	Heart-TSORep1	Transcript	Pr	22.1
ONT	Post	0+	Heart-TSORep1	Transcript	Sn	31.1
ONT	Post	0+	LiverRep1	Base	Pr	60.9
ONT	Post	0+	LiverRep1	Base	Sn	49.8
ONT	Post	0+	LiverRep1	Exon	Pr	56.1
ONT	Post	0+	LiverRep1	Exon	Sn	49.1
ONT	Post	0+	LiverRep1	Intronchain	Pr	20.0
ONT	Post	0+	LiverRep1	Intronchain	Sn	30.4
ONT	Post	0+	LiverRep1	Intron	Pr	66.5
ONT	Post	0+	LiverRep1	Intron	Sn	55.2
ONT	Post	0+	LiverRep1	Locus	Pr	46.5
ONT	Post	0+	LiverRep1	Locus	Sn	60.9
ONT	Post	0+	LiverRep1	Transcript	Pr	18.0
ONT	Post	0+	LiverRep1	Transcript	Sn	30.2
ONT	Post	0+	OvaryRep1	Base	Pr	56.7
ONT	Post	0+	OvaryRep1	Base	Sn	46.3
ONT	Post	0+	OvaryRep1	Exon	Pr	45.2
ONT	Post	0+	OvaryRep1	Exon	Sn	46.1
ONT	Post	0+	OvaryRep1	Intronchain	Pr	14.3
ONT	Post	0+	OvaryRep1	Intronchain	Sn	29.5
ONT	Post	0+	OvaryRep1	Intron	Pr	55.4
ONT	Post	0+	OvaryRep1	Intron	Sn	51.8
ONT	Post	0+	OvaryRep1	Locus	Pr	40.9
ONT	Post	0+	OvaryRep1	Locus	Sn	59.4
ONT	Post	0+	OvaryRep1	Transcript	Pr	12.8
ONT	Post	0+	OvaryRep1	Transcript	Sn	29.4
ONT	Post	0+	ShieldRep1	Base	Pr	46.5
ONT	Post	0+	ShieldRep1	Base	Sn	36.4
ONT	Post	0+	ShieldRep1	Exon	Pr	39.0
ONT	Post	0+	ShieldRep1	Exon	Sn	31.1
ONT	Post	0+	ShieldRep1	Intronchain	Pr	12.9
ONT	Post	0+	ShieldRep1	Intronchain	Sn	20.3
ONT	Post	0+	ShieldRep1	Intron	Pr	49.4
ONT	Post	0+	ShieldRep1	Intron	Sn	34.1
ONT	Post	0+	ShieldRep1	Locus	Pr	25.6
ONT	Post	0+	ShieldRep1	Locus	Sn	42.0
ONT	Post	0+	ShieldRep1	Transcript	Pr	10.8
ONT	Post	0+	ShieldRep1	Transcript	Sn	20.2
ONT	Post	0+	Testis-noSS500Rep1	Base	Pr	63.5
ONT	Post	0+	Testis-noSS500Rep1	Base	Sn	46.6
ONT	Post	0+	Testis-noSS500Rep1	Exon	Pr	54.6
ONT	Post	0+	Testis-noSS500Rep1	Exon	Sn	46.6
ONT	Post	0+	Testis-noSS500Rep1	Intronchain	Pr	22.1
ONT	Post	0+	Testis-noSS500Rep1	Intronchain	Sn	31.3
ONT	Post	0+	Testis-noSS500Rep1	Intron	Pr	64.5
ONT	Post	0+	Testis-noSS500Rep1	Intron	Sn	51.6
ONT	Post	0+	Testis-noSS500Rep1	Locus	Pr	37.4
ONT	Post	0+	Testis-noSS500Rep1	Locus	Sn	60.5
ONT	Post	0+	Testis-noSS500Rep1	Transcript	Pr	18.5
ONT	Post	0+	Testis-noSS500Rep1	Transcript	Sn	31.4
ONT	Post	0+	TestisRep1	Base	Pr	37.4
ONT	Post	0+	TestisRep1	Base	Sn	38.0
ONT	Post	0+	TestisRep1	Exon	Pr	28.5
ONT	Post	0+	TestisRep1	Exon	Sn	36.3
ONT	Post	0+	TestisRep1	Intronchain	Pr	7.5
ONT	Post	0+	TestisRep1	Intronchain	Sn	23.4
ONT	Post	0+	TestisRep1	Intron	Pr	36.5
ONT	Post	0+	TestisRep1	Intron	Sn	40.1
ONT	Post	0+	TestisRep1	Locus	Pr	23.8
ONT	Post	0+	TestisRep1	Locus	Sn	46.4
ONT	Post	0+	TestisRep1	Transcript	Pr	6.5
ONT	Post	0+	TestisRep1	Transcript	Sn	23.2
ONT	Post	0+	Testis-TSORep1	Base	Pr	60.8
ONT	Post	0+	Testis-TSORep1	Base	Sn	51.6
ONT	Post	0+	Testis-TSORep1	Exon	Pr	58.7
ONT	Post	0+	Testis-TSORep1	Exon	Sn	46.5
ONT	Post	0+	Testis-TSORep1	Intronchain	Pr	29.6
ONT	Post	0+	Testis-TSORep1	Intronchain	Sn	28.8
ONT	Post	0+	Testis-TSORep1	Intron	Pr	77.4
ONT	Post	0+	Testis-TSORep1	Intron	Sn	52.1
ONT	Post	0+	Testis-TSORep1	Locus	Pr	29.9
ONT	Post	0+	Testis-TSORep1	Locus	Sn	58.0
ONT	Post	0+	Testis-TSORep1	Transcript	Pr	17.5
ONT	Post	0+	Testis-TSORep1	Transcript	Sn	28.9
ONT	Pre	0+	2-4Cell-noSS500Rep1	Base	Pr	79.4
ONT	Pre	0+	2-4Cell-noSS500Rep1	Base	Sn	53.5
ONT	Pre	0+	2-4Cell-noSS500Rep1	Exon	Pr	68.9
ONT	Pre	0+	2-4Cell-noSS500Rep1	Exon	Sn	51.8
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	29.8
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	32.7
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intron	Pr	78.9
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intron	Sn	58.5
ONT	Pre	0+	2-4Cell-noSS500Rep1	Locus	Pr	55.3
ONT	Pre	0+	2-4Cell-noSS500Rep1	Locus	Sn	65.9
ONT	Pre	0+	2-4Cell-noSS500Rep1	Transcript	Pr	26.0
ONT	Pre	0+	2-4Cell-noSS500Rep1	Transcript	Sn	32.9
ONT	Pre	0+	2-4CellRep1	Base	Pr	73.0
ONT	Pre	0+	2-4CellRep1	Base	Sn	54.0
ONT	Pre	0+	2-4CellRep1	Exon	Pr	63.2
ONT	Pre	0+	2-4CellRep1	Exon	Sn	50.9
ONT	Pre	0+	2-4CellRep1	Intronchain	Pr	23.2
ONT	Pre	0+	2-4CellRep1	Intronchain	Sn	32.1
ONT	Pre	0+	2-4CellRep1	Intron	Pr	73.4
ONT	Pre	0+	2-4CellRep1	Intron	Sn	57.3
ONT	Pre	0+	2-4CellRep1	Locus	Pr	48.5
ONT	Pre	0+	2-4CellRep1	Locus	Sn	61.9
ONT	Pre	0+	2-4CellRep1	Transcript	Pr	20.1
ONT	Pre	0+	2-4CellRep1	Transcript	Sn	32.1
ONT	Pre	0+	2-4Cell-TSORep1	Base	Pr	72.3
ONT	Pre	0+	2-4Cell-TSORep1	Base	Sn	63.8
ONT	Pre	0+	2-4Cell-TSORep1	Exon	Pr	65.6
ONT	Pre	0+	2-4Cell-TSORep1	Exon	Sn	58.5
ONT	Pre	0+	2-4Cell-TSORep1	Intronchain	Pr	27.5
ONT	Pre	0+	2-4Cell-TSORep1	Intronchain	Sn	33.1
ONT	Pre	0+	2-4Cell-TSORep1	Intron	Pr	80.0
