seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Pre	0+	Heart-noSS500Rep1	Antisense	669
ONT	Pre	0+	Heart-noSS500Rep1	Equal	7942
ONT	Pre	0+	Heart-noSS500Rep1	Extends	576
ONT	Pre	0+	Heart-noSS500Rep1	Included	2240
ONT	Pre	0+	Heart-noSS500Rep1	Intergenic	1427
ONT	Pre	0+	Heart-noSS500Rep1	Intronic	504
ONT	Pre	0+	Heart-noSS500Rep1	Overlaps	14002
ONT	Pre	0+	28hpf-TSORep1	Antisense	4879
ONT	Pre	0+	28hpf-TSORep1	Equal	12535
ONT	Pre	0+	28hpf-TSORep1	Extends	1005
ONT	Pre	0+	28hpf-TSORep1	Included	9485
ONT	Pre	0+	28hpf-TSORep1	Intergenic	11613
ONT	Pre	0+	28hpf-TSORep1	Intronic	10484
ONT	Pre	0+	28hpf-TSORep1	Overlaps	35274
ONT	Pre	0+	2-4Cell-noSS500Rep1	Antisense	768
ONT	Pre	0+	2-4Cell-noSS500Rep1	Equal	8195
ONT	Pre	0+	2-4Cell-noSS500Rep1	Extends	475
ONT	Pre	0+	2-4Cell-noSS500Rep1	Included	3853
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intergenic	1439
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronic	271
ONT	Pre	0+	2-4Cell-noSS500Rep1	Overlaps	16487
ONT	Pre	0+	Heart-TSORep1	Antisense	1809
ONT	Pre	0+	Heart-TSORep1	Equal	8692
ONT	Pre	0+	Heart-TSORep1	Extends	498
ONT	Pre	0+	Heart-TSORep1	Included	5780
ONT	Pre	0+	Heart-TSORep1	Intergenic	4652
ONT	Pre	0+	Heart-TSORep1	Intronic	2646
ONT	Pre	0+	Heart-TSORep1	Overlaps	15281
ONT	Pre	0+	Testis-noSS500Rep1	Antisense	3249
ONT	Pre	0+	Testis-noSS500Rep1	Equal	7836
ONT	Pre	0+	Testis-noSS500Rep1	Extends	641
ONT	Pre	0+	Testis-noSS500Rep1	Included	3014
ONT	Pre	0+	Testis-noSS500Rep1	Intergenic	6000
ONT	Pre	0+	Testis-noSS500Rep1	Intronic	1911
ONT	Pre	0+	Testis-noSS500Rep1	Overlaps	19718
ONT	Pre	0+	2-4Cell-TSORep1	Antisense	2736
ONT	Pre	0+	2-4Cell-TSORep1	Equal	9998
ONT	Pre	0+	2-4Cell-TSORep1	Extends	825
ONT	Pre	0+	2-4Cell-TSORep1	Included	7538
ONT	Pre	0+	2-4Cell-TSORep1	Intergenic	3882
ONT	Pre	0+	2-4Cell-TSORep1	Intronic	1194
ONT	Pre	0+	2-4Cell-TSORep1	Overlaps	25009
ONT	Pre	0+	BrainRep1	Antisense	1775
ONT	Pre	0+	BrainRep1	Equal	9620
ONT	Pre	0+	BrainRep1	Extends	710
ONT	Pre	0+	BrainRep1	Included	4684
ONT	Pre	0+	BrainRep1	Intergenic	4586
ONT	Pre	0+	BrainRep1	Intronic	1332
ONT	Pre	0+	BrainRep1	Overlaps	23533
ONT	Pre	0+	ShieldRep1	Antisense	1427
ONT	Pre	0+	ShieldRep1	Equal	8608
ONT	Pre	0+	ShieldRep1	Extends	894
ONT	Pre	0+	ShieldRep1	Included	4038
ONT	Pre	0+	ShieldRep1	Intergenic	4610
ONT	Pre	0+	ShieldRep1	Intronic	1957
ONT	Pre	0+	ShieldRep1	Overlaps	26293
ONT	Pre	0+	HeartRep1	Antisense	602
ONT	Pre	0+	HeartRep1	Equal	8098
ONT	Pre	0+	HeartRep1	Extends	514
ONT	Pre	0+	HeartRep1	Included	2122
ONT	Pre	0+	HeartRep1	Intergenic	1455
ONT	Pre	0+	HeartRep1	Intronic	475
ONT	Pre	0+	HeartRep1	Overlaps	13465
ONT	Pre	0+	2-4CellRep1	Antisense	1601
ONT	Pre	0+	2-4CellRep1	Equal	9452
ONT	Pre	0+	2-4CellRep1	Extends	807
ONT	Pre	0+	2-4CellRep1	Included	5155
ONT	Pre	0+	2-4CellRep1	Intergenic	2506
ONT	Pre	0+	2-4CellRep1	Intronic	489
ONT	Pre	0+	2-4CellRep1	Overlaps	27080
ONT	Pre	0+	OvaryRep1	Antisense	1467
ONT	Pre	0+	OvaryRep1	Equal	8990
ONT	Pre	0+	OvaryRep1	Extends	608
ONT	Pre	0+	OvaryRep1	Included	2945
ONT	Pre	0+	OvaryRep1	Intergenic	2339
ONT	Pre	0+	OvaryRep1	Intronic	498
ONT	Pre	0+	OvaryRep1	Overlaps	22119
ONT	Pre	0+	LiverRep1	Antisense	420
ONT	Pre	0+	LiverRep1	Equal	6908
ONT	Pre	0+	LiverRep1	Extends	470
ONT	Pre	0+	LiverRep1	Included	1016
ONT	Pre	0+	LiverRep1	Intergenic	882
ONT	Pre	0+	LiverRep1	Intronic	323
ONT	Pre	0+	LiverRep1	Overlaps	11863
ONT	Pre	0+	28hpfRep1	Antisense	346
ONT	Pre	0+	28hpfRep1	Equal	8588
ONT	Pre	0+	28hpfRep1	Extends	420
ONT	Pre	0+	28hpfRep1	Included	1832
ONT	Pre	0+	28hpfRep1	Intergenic	1411
ONT	Pre	0+	28hpfRep1	Intronic	443
ONT	Pre	0+	28hpfRep1	Overlaps	11554
ONT	Pre	0+	TestisRep1	Antisense	4530
ONT	Pre	0+	TestisRep1	Equal	8999
ONT	Pre	0+	TestisRep1	Extends	877
ONT	Pre	0+	TestisRep1	Included	3355
ONT	Pre	0+	TestisRep1	Intergenic	7869
ONT	Pre	0+	TestisRep1	Intronic	2580
ONT	Pre	0+	TestisRep1	Overlaps	25492
ONT	Pre	0+	28hpf-noSS500Rep1	Antisense	274
ONT	Pre	0+	28hpf-noSS500Rep1	Equal	7314
ONT	Pre	0+	28hpf-noSS500Rep1	Extends	303
ONT	Pre	0+	28hpf-noSS500Rep1	Included	1940
ONT	Pre	0+	28hpf-noSS500Rep1	Intergenic	1119
ONT	Pre	0+	28hpf-noSS500Rep1	Intronic	341
ONT	Pre	0+	28hpf-noSS500Rep1	Overlaps	9946
ONT	Pre	0+	Testis-TSORep1	Antisense	3347
ONT	Pre	0+	Testis-TSORep1	Equal	9594
ONT	Pre	0+	Testis-TSORep1	Extends	643
ONT	Pre	0+	Testis-TSORep1	Included	8720
ONT	Pre	0+	Testis-TSORep1	Intergenic	9429
ONT	Pre	0+	Testis-TSORep1	Intronic	3804
ONT	Pre	0+	Testis-TSORep1	Overlaps	19336
ONT	Post	0+	Heart-noSS500Rep1	Antisense	669
ONT	Post	0+	Heart-noSS500Rep1	Equal	7942
ONT	Post	0+	Heart-noSS500Rep1	Extends	576
ONT	Post	0+	Heart-noSS500Rep1	Included	2240
ONT	Post	0+	Heart-noSS500Rep1	Intergenic	1427
ONT	Post	0+	Heart-noSS500Rep1	Intronic	504
ONT	Post	0+	Heart-noSS500Rep1	Overlaps	14002
ONT	Post	0+	28hpf-TSORep1	Antisense	4879
ONT	Post	0+	28hpf-TSORep1	Equal	12535
ONT	Post	0+	28hpf-TSORep1	Extends	1005
ONT	Post	0+	28hpf-TSORep1	Included	9485
ONT	Post	0+	28hpf-TSORep1	Intergenic	11613
ONT	Post	0+	28hpf-TSORep1	Intronic	10484
ONT	Post	0+	28hpf-TSORep1	Overlaps	35274
ONT	Post	0+	2-4Cell-noSS500Rep1	Antisense	768
ONT	Post	0+	2-4Cell-noSS500Rep1	Equal	8195
ONT	Post	0+	2-4Cell-noSS500Rep1	Extends	475
ONT	Post	0+	2-4Cell-noSS500Rep1	Included	3853
ONT	Post	0+	2-4Cell-noSS500Rep1	Intergenic	1439
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronic	271
ONT	Post	0+	2-4Cell-noSS500Rep1	Overlaps	16487
ONT	Post	0+	Heart-TSORep1	Antisense	1809
ONT	Post	0+	Heart-TSORep1	Equal	8692
ONT	Post	0+	Heart-TSORep1	Extends	498
ONT	Post	0+	Heart-TSORep1	Included	5780
ONT	Post	0+	Heart-TSORep1	Intergenic	4652
ONT	Post	0+	Heart-TSORep1	Intronic	2646
ONT	Post	0+	Heart-TSORep1	Overlaps	15281
ONT	Post	0+	Testis-noSS500Rep1	Antisense	3249
ONT	Post	0+	Testis-noSS500Rep1	Equal	7836
ONT	Post	0+	Testis-noSS500Rep1	Extends	641
ONT	Post	0+	Testis-noSS500Rep1	Included	3014
ONT	Post	0+	Testis-noSS500Rep1	Intergenic	6000
ONT	Post	0+	Testis-noSS500Rep1	Intronic	1911
ONT	Post	0+	Testis-noSS500Rep1	Overlaps	19718
ONT	Post	0+	2-4Cell-TSORep1	Antisense	2736
ONT	Post	0+	2-4Cell-TSORep1	Equal	9998
ONT	Post	0+	2-4Cell-TSORep1	Extends	825
ONT	Post	0+	2-4Cell-TSORep1	Included	7538
ONT	Post	0+	2-4Cell-TSORep1	Intergenic	3882
ONT	Post	0+	2-4Cell-TSORep1	Intronic	1194
ONT	Post	0+	2-4Cell-TSORep1	Overlaps	25009
ONT	Post	0+	BrainRep1	Antisense	3609
ONT	Post	0+	BrainRep1	Equal	3781
ONT	Post	0+	BrainRep1	Extends	659
ONT	Post	0+	BrainRep1	Included	4043
ONT	Post	0+	BrainRep1	Intergenic	9364
ONT	Post	0+	BrainRep1	Intronic	2491
ONT	Post	0+	BrainRep1	Overlaps	19321
ONT	Post	0+	ShieldRep1	Antisense	1803
ONT	Post	0+	ShieldRep1	Equal	2830
ONT	Post	0+	ShieldRep1	Extends	482
ONT	Post	0+	ShieldRep1	Included	2200
ONT	Post	0+	ShieldRep1	Intergenic	5290
ONT	Post	0+	ShieldRep1	Intronic	1230
ONT	Post	0+	ShieldRep1	Overlaps	12332
ONT	Post	0+	HeartRep1	Antisense	1715
ONT	Post	0+	HeartRep1	Equal	5248
ONT	Post	0+	HeartRep1	Extends	785
ONT	Post	0+	HeartRep1	Included	2335
ONT	Post	0+	HeartRep1	Intergenic	5007
ONT	Post	0+	HeartRep1	Intronic	883
ONT	Post	0+	HeartRep1	Overlaps	15931
ONT	Post	0+	2-4CellRep1	Antisense	2340
ONT	Post	0+	2-4CellRep1	Equal	2943
ONT	Post	0+	2-4CellRep1	Extends	513
ONT	Post	0+	2-4CellRep1	Included	3132
ONT	Post	0+	2-4CellRep1	Intergenic	5941
ONT	Post	0+	2-4CellRep1	Intronic	516
ONT	Post	0+	2-4CellRep1	Overlaps	14670
ONT	Post	0+	OvaryRep1	Antisense	3236
ONT	Post	0+	OvaryRep1	Equal	5665
ONT	Post	0+	OvaryRep1	Extends	742
ONT	Post	0+	OvaryRep1	Included	2241
ONT	Post	0+	OvaryRep1	Intergenic	10035
ONT	Post	0+	OvaryRep1	Intronic	737
ONT	Post	0+	OvaryRep1	Overlaps	21616
ONT	Post	0+	LiverRep1	Antisense	1722
ONT	Post	0+	LiverRep1	Equal	5874
ONT	Post	0+	LiverRep1	Extends	704
ONT	Post	0+	LiverRep1	Included	1841
ONT	Post	0+	LiverRep1	Intergenic	3977
ONT	Post	0+	LiverRep1	Intronic	663
ONT	Post	0+	LiverRep1	Overlaps	17807
ONT	Post	0+	28hpfRep1	Antisense	1773
ONT	Post	0+	28hpfRep1	Equal	5614
ONT	Post	0+	28hpfRep1	Extends	660
ONT	Post	0+	28hpfRep1	Included	2392
ONT	Post	0+	28hpfRep1	Intergenic	6519
ONT	Post	0+	28hpfRep1	Intronic	1067
ONT	Post	0+	28hpfRep1	Overlaps	16372
ONT	Post	0+	TestisRep1	Antisense	6931
ONT	Post	0+	TestisRep1	Equal	4217
ONT	Post	0+	TestisRep1	Extends	1109
ONT	Post	0+	TestisRep1	Included	2268
ONT	Post	0+	TestisRep1	Intergenic	20401
ONT	Post	0+	TestisRep1	Intronic	3133
ONT	Post	0+	TestisRep1	Overlaps	26662
ONT	Post	0+	28hpf-noSS500Rep1	Antisense	274
ONT	Post	0+	28hpf-noSS500Rep1	Equal	7314
ONT	Post	0+	28hpf-noSS500Rep1	Extends	303
ONT	Post	0+	28hpf-noSS500Rep1	Included	1940
ONT	Post	0+	28hpf-noSS500Rep1	Intergenic	1119
ONT	Post	0+	28hpf-noSS500Rep1	Intronic	341
ONT	Post	0+	28hpf-noSS500Rep1	Overlaps	9946
ONT	Post	0+	Testis-TSORep1	Antisense	3347
ONT	Post	0+	Testis-TSORep1	Equal	9594
ONT	Post	0+	Testis-TSORep1	Extends	643
ONT	Post	0+	Testis-TSORep1	Included	8720
ONT	Post	0+	Testis-TSORep1	Intergenic	9429
ONT	Post	0+	Testis-TSORep1	Intronic	3804
ONT	Post	0+	Testis-TSORep1	Overlaps	19336
