seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	81.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	55.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	70.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	53.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	31.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	33.1
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	79.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	60.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	59.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	67.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	27.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	33.2
ONT	Post	0+	2-4CellRep1	Base	Pr	59.3
ONT	Post	0+	2-4CellRep1	Base	Sn	36.7
ONT	Post	0+	2-4CellRep1	Exon	Pr	43.2
ONT	Post	0+	2-4CellRep1	Exon	Sn	30.2
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	13.9
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	20.1
ONT	Post	0+	2-4CellRep1	Intron	Pr	52.6
ONT	Post	0+	2-4CellRep1	Intron	Sn	33.2
ONT	Post	0+	2-4CellRep1	Locus	Pr	34.7
ONT	Post	0+	2-4CellRep1	Locus	Sn	42.9
ONT	Post	0+	2-4CellRep1	Transcript	Pr	12.1
ONT	Post	0+	2-4CellRep1	Transcript	Sn	20.0
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	77.9
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	64.3
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	69.5
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	59.3
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	29.8
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	33.3
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	81.5
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	67.6
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	56.4
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	67.4
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	22.8
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	33.4
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	83.7
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	59.8
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Pr	75.1
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Sn	58.5
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Pr	40.3
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Sn	38.0
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Pr	82.2
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Sn	66.4
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Pr	68.8
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Sn	77.9
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Pr	35.9
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Sn	38.0
ONT	Post	0+	28hpfRep1	Base	Pr	64.6
ONT	Post	0+	28hpfRep1	Base	Sn	49.6
ONT	Post	0+	28hpfRep1	Exon	Pr	57.7
ONT	Post	0+	28hpfRep1	Exon	Sn	45.9
ONT	Post	0+	28hpfRep1	Intronchain	Pr	24.1
