seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Post	0+	2-4CellRep1	Antisense	1113
ONT	Post	0+	2-4CellRep1	Equal	2616
ONT	Post	0+	2-4CellRep1	Extends	343
ONT	Post	0+	2-4CellRep1	Included	2285
ONT	Post	0+	2-4CellRep1	Intergenic	3610
ONT	Post	0+	2-4CellRep1	Intronic	182
ONT	Post	0+	2-4CellRep1	Overlaps	11398
ONT	Post	0+	Testis-TSORep1	Antisense	1042
ONT	Post	0+	Testis-TSORep1	Equal	8432
ONT	Post	0+	Testis-TSORep1	Extends	475
ONT	Post	0+	Testis-TSORep1	Included	5952
ONT	Post	0+	Testis-TSORep1	Intergenic	3892
ONT	Post	0+	Testis-TSORep1	Intronic	1109
ONT	Post	0+	Testis-TSORep1	Overlaps	14716
ONT	Post	0+	LiverRep1	Antisense	752
ONT	Post	0+	LiverRep1	Equal	5127
ONT	Post	0+	LiverRep1	Extends	441
ONT	Post	0+	LiverRep1	Included	1283
ONT	Post	0+	LiverRep1	Intergenic	2192
ONT	Post	0+	LiverRep1	Intronic	324
ONT	Post	0+	LiverRep1	Overlaps	13180
ONT	Post	0+	BrainRep1	Antisense	1091
ONT	Post	0+	BrainRep1	Equal	3115
ONT	Post	0+	BrainRep1	Extends	383
ONT	Post	0+	BrainRep1	Included	2586
ONT	Post	0+	BrainRep1	Intergenic	3463
ONT	Post	0+	BrainRep1	Intronic	710
ONT	Post	0+	BrainRep1	Overlaps	11580
ONT	Post	0+	Testis-noSS500Rep1	Antisense	1544
ONT	Post	0+	Testis-noSS500Rep1	Equal	6832
ONT	Post	0+	Testis-noSS500Rep1	Extends	444
ONT	Post	0+	Testis-noSS500Rep1	Included	2113
ONT	Post	0+	Testis-noSS500Rep1	Intergenic	3416
ONT	Post	0+	Testis-noSS500Rep1	Intronic	877
ONT	Post	0+	Testis-noSS500Rep1	Overlaps	15881
ONT	Post	0+	HeartRep1	Antisense	644
ONT	Post	0+	HeartRep1	Equal	4468
ONT	Post	0+	HeartRep1	Extends	437
ONT	Post	0+	HeartRep1	Included	1620
ONT	Post	0+	HeartRep1	Intergenic	2402
ONT	Post	0+	HeartRep1	Intronic	384
ONT	Post	0+	HeartRep1	Overlaps	10625
ONT	Post	0+	Heart-noSS500Rep1	Antisense	251
ONT	Post	0+	Heart-noSS500Rep1	Equal	7067
ONT	Post	0+	Heart-noSS500Rep1	Extends	377
ONT	Post	0+	Heart-noSS500Rep1	Included	1753
ONT	Post	0+	Heart-noSS500Rep1	Intergenic	869
ONT	Post	0+	Heart-noSS500Rep1	Intronic	301
ONT	Post	0+	Heart-noSS500Rep1	Overlaps	11413
ONT	Post	0+	ShieldRep1	Antisense	790
ONT	Post	0+	ShieldRep1	Equal	2539
ONT	Post	0+	ShieldRep1	Extends	338
ONT	Post	0+	ShieldRep1	Included	1642
ONT	Post	0+	ShieldRep1	Intergenic	3040
ONT	Post	0+	ShieldRep1	Intronic	649
ONT	Post	0+	ShieldRep1	Overlaps	9006
ONT	Post	0+	TestisRep1	Antisense	3141
ONT	Post	0+	TestisRep1	Equal	3638
ONT	Post	0+	TestisRep1	Extends	568
ONT	Post	0+	TestisRep1	Included	1442
ONT	Post	0+	TestisRep1	Intergenic	9292
ONT	Post	0+	TestisRep1	Intronic	774
ONT	Post	0+	TestisRep1	Overlaps	16763
ONT	Post	0+	28hpf-noSS500Rep1	Antisense	137
ONT	Post	0+	28hpf-noSS500Rep1	Equal	6651
ONT	Post	0+	28hpf-noSS500Rep1	Extends	237
ONT	Post	0+	28hpf-noSS500Rep1	Included	1577
ONT	Post	0+	28hpf-noSS500Rep1	Intergenic	859
ONT	Post	0+	28hpf-noSS500Rep1	Intronic	260
ONT	Post	0+	28hpf-noSS500Rep1	Overlaps	8807
ONT	Post	0+	OvaryRep1	Antisense	1957
ONT	Post	0+	OvaryRep1	Equal	5287
ONT	Post	0+	OvaryRep1	Extends	557
ONT	Post	0+	OvaryRep1	Included	1623
ONT	Post	0+	OvaryRep1	Intergenic	6151
ONT	Post	0+	OvaryRep1	Intronic	293
ONT	Post	0+	OvaryRep1	Overlaps	17822
ONT	Post	0+	Heart-TSORep1	Antisense	314
ONT	Post	0+	Heart-TSORep1	Equal	7727
ONT	Post	0+	Heart-TSORep1	Extends	412
ONT	Post	0+	Heart-TSORep1	Included	4194
ONT	Post	0+	Heart-TSORep1	Intergenic	1811
ONT	Post	0+	Heart-TSORep1	Intronic	627
ONT	Post	0+	Heart-TSORep1	Overlaps	12156
ONT	Post	0+	2-4Cell-noSS500Rep1	Antisense	411
ONT	Post	0+	2-4Cell-noSS500Rep1	Equal	7415
ONT	Post	0+	2-4Cell-noSS500Rep1	Extends	393
ONT	Post	0+	2-4Cell-noSS500Rep1	Included	3003
ONT	Post	0+	2-4Cell-noSS500Rep1	Intergenic	1028
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronic	174
ONT	Post	0+	2-4Cell-noSS500Rep1	Overlaps	14686
ONT	Post	0+	28hpf-TSORep1	Antisense	790
ONT	Post	0+	28hpf-TSORep1	Equal	11313
ONT	Post	0+	28hpf-TSORep1	Extends	845
ONT	Post	0+	28hpf-TSORep1	Included	6498
ONT	Post	0+	28hpf-TSORep1	Intergenic	4524
ONT	Post	0+	28hpf-TSORep1	Intronic	2573
ONT	Post	0+	28hpf-TSORep1	Overlaps	27880
ONT	Post	0+	2-4Cell-TSORep1	Antisense	599
ONT	Post	0+	2-4Cell-TSORep1	Equal	9267
ONT	Post	0+	2-4Cell-TSORep1	Extends	718
ONT	Post	0+	2-4Cell-TSORep1	Included	5777
