seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	80.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	54.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	71.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	54.4
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	29.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	33.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	78.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	61.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	60.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	67.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	29.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	33.6
ONT	Post	0+	2-4CellRep1	Base	Pr	55.3
ONT	Post	0+	2-4CellRep1	Base	Sn	38.5
ONT	Post	0+	2-4CellRep1	Exon	Pr	40.8
ONT	Post	0+	2-4CellRep1	Exon	Sn	36.0
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	11.4
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	22.5
ONT	Post	0+	2-4CellRep1	Intron	Pr	48.9
ONT	Post	0+	2-4CellRep1	Intron	Sn	40.4
ONT	Post	0+	2-4CellRep1	Locus	Pr	36.9
ONT	Post	0+	2-4CellRep1	Locus	Sn	46.7
ONT	Post	0+	2-4CellRep1	Transcript	Pr	11.4
ONT	Post	0+	2-4CellRep1	Transcript	Sn	22.3
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	78.4
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	64.6
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	71.9
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	62.0
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	27.5
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	34.6
