seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	82.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	58.1
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	73.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	57.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	31.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	34.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	79.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	65.5
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	65.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	70.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	31.3
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	34.4
ONT	Post	0+	2-4CellRep1	Base	Pr	59.7
ONT	Post	0+	2-4CellRep1	Base	Sn	42.2
ONT	Post	0+	2-4CellRep1	Exon	Pr	45.7
ONT	Post	0+	2-4CellRep1	Exon	Sn	39.5
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	13.9
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	24.8
ONT	Post	0+	2-4CellRep1	Intron	Pr	52.6
ONT	Post	0+	2-4CellRep1	Intron	Sn	44.1
ONT	Post	0+	2-4CellRep1	Locus	Pr	44.6
ONT	Post	0+	2-4CellRep1	Locus	Sn	51.4
ONT	Post	0+	2-4CellRep1	Transcript	Pr	13.9
ONT	Post	0+	2-4CellRep1	Transcript	Sn	24.5
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	80.9
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	66.6
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	74.4
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	63.7
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	29.8
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	35.3
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	81.5
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	73.0
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	66.6
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	70.8
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	29.8
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	35.0
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	86.4
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	63.1
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Pr	77.6
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Sn	62.4
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Pr	40.3
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Sn	39.8
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Pr	82.2
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Sn	71.5
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Pr	75.5
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Sn	80.8
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Pr	40.3
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Sn	39.3
ONT	Post	0+	28hpfRep1	Base	Pr	69.4
ONT	Post	0+	28hpfRep1	Base	Sn	54.0
ONT	Post	0+	28hpfRep1	Exon	Pr	60.5
ONT	Post	0+	28hpfRep1	Exon	Sn	52.8
ONT	Post	0+	28hpfRep1	Intronchain	Pr	24.1
ONT	Post	0+	28hpfRep1	Intronchain	Sn	33.3
ONT	Post	0+	28hpfRep1	Intron	Pr	67.1
ONT	Post	0+	28hpfRep1	Intron	Sn	59.8
ONT	Post	0+	28hpfRep1	Locus	Pr	57.8
ONT	Post	0+	28hpfRep1	Locus	Sn	67.4
ONT	Post	0+	28hpfRep1	Transcript	Pr	24.1
ONT	Post	0+	28hpfRep1	Transcript	Sn	32.9
ONT	Post	0+	28hpf-TSORep1	Base	Pr	71.9
ONT	Post	0+	28hpf-TSORep1	Base	Sn	65.4
ONT	Post	0+	28hpf-TSORep1	Exon	Pr	73.4
ONT	Post	0+	28hpf-TSORep1	Exon	Sn	59.9
ONT	Post	0+	28hpf-TSORep1	Intronchain	Pr	30.8
ONT	Post	0+	28hpf-TSORep1	Intronchain	Sn	37.0
ONT	Post	0+	28hpf-TSORep1	Intron	Pr	81.7
ONT	Post	0+	28hpf-TSORep1	Intron	Sn	68.4
ONT	Post	0+	28hpf-TSORep1	Locus	Pr	64.8
ONT	Post	0+	28hpf-TSORep1	Locus	Sn	72.2
ONT	Post	0+	28hpf-TSORep1	Transcript	Pr	30.8
ONT	Post	0+	28hpf-TSORep1	Transcript	Sn	36.5
ONT	Post	0+	BrainRep1	Base	Pr	62.9
ONT	Post	0+	BrainRep1	Base	Sn	43.1
ONT	Post	0+	BrainRep1	Exon	Pr	50.6
ONT	Post	0+	BrainRep1	Exon	Sn	40.0
ONT	Post	0+	BrainRep1	Intronchain	Pr	17.3
