seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Post	0+	Testis-noSS500Rep1	Antisense	1280
ONT	Post	0+	Testis-noSS500Rep1	Equal	6685
ONT	Post	0+	Testis-noSS500Rep1	Extends	389
ONT	Post	0+	Testis-noSS500Rep1	Included	478
ONT	Post	0+	Testis-noSS500Rep1	Intergenic	2407
ONT	Post	0+	Testis-noSS500Rep1	Intronic	535
ONT	Post	0+	Testis-noSS500Rep1	Overlaps	14659
ONT	Post	0+	2-4CellRep1	Antisense	1051
ONT	Post	0+	2-4CellRep1	Equal	2591
ONT	Post	0+	2-4CellRep1	Extends	328
ONT	Post	0+	2-4CellRep1	Included	857
ONT	Post	0+	2-4CellRep1	Intergenic	3105
ONT	Post	0+	2-4CellRep1	Intronic	89
ONT	Post	0+	2-4CellRep1	Overlaps	10625
ONT	Post	0+	Heart-TSORep1	Antisense	115
ONT	Post	0+	Heart-TSORep1	Equal	7601
ONT	Post	0+	Heart-TSORep1	Extends	346
ONT	Post	0+	Heart-TSORep1	Included	666
ONT	Post	0+	Heart-TSORep1	Intergenic	494
ONT	Post	0+	Heart-TSORep1	Intronic	147
ONT	Post	0+	Heart-TSORep1	Overlaps	9484
ONT	Post	0+	Heart-noSS500Rep1	Antisense	150
ONT	Post	0+	Heart-noSS500Rep1	Equal	6949
ONT	Post	0+	Heart-noSS500Rep1	Extends	335
ONT	Post	0+	Heart-noSS500Rep1	Included	353
ONT	Post	0+	Heart-noSS500Rep1	Intergenic	518
ONT	Post	0+	Heart-noSS500Rep1	Intronic	186
ONT	Post	0+	Heart-noSS500Rep1	Overlaps	10686
ONT	Post	0+	Testis-TSORep1	Antisense	706
ONT	Post	0+	Testis-TSORep1	Equal	8271
ONT	Post	0+	Testis-TSORep1	Extends	414
ONT	Post	0+	Testis-TSORep1	Included	1011
ONT	Post	0+	Testis-TSORep1	Intergenic	1595
ONT	Post	0+	Testis-TSORep1	Intronic	408
ONT	Post	0+	Testis-TSORep1	Overlaps	11525
ONT	Post	0+	LiverRep1	Antisense	657
ONT	Post	0+	LiverRep1	Equal	5054
ONT	Post	0+	LiverRep1	Extends	415
ONT	Post	0+	LiverRep1	Included	407
ONT	Post	0+	LiverRep1	Intergenic	1760
ONT	Post	0+	LiverRep1	Intronic	210
ONT	Post	0+	LiverRep1	Overlaps	12473
ONT	Post	0+	BrainRep1	Antisense	900
ONT	Post	0+	BrainRep1	Equal	3058
ONT	Post	0+	BrainRep1	Extends	352
ONT	Post	0+	BrainRep1	Included	751
ONT	Post	0+	BrainRep1	Intergenic	2168
ONT	Post	0+	BrainRep1	Intronic	287
ONT	Post	0+	BrainRep1	Overlaps	10204
ONT	Post	0+	HeartRep1	Antisense	535
ONT	Post	0+	HeartRep1	Equal	4399
ONT	Post	0+	HeartRep1	Extends	407
ONT	Post	0+	HeartRep1	Included	498
ONT	Post	0+	HeartRep1	Intergenic	1784
ONT	Post	0+	HeartRep1	Intronic	211
ONT	Post	0+	HeartRep1	Overlaps	9862
ONT	Post	0+	OvaryRep1	Antisense	1828
ONT	Post	0+	OvaryRep1	Equal	5215
ONT	Post	0+	OvaryRep1	Extends	528
ONT	Post	0+	OvaryRep1	Included	486
ONT	Post	0+	OvaryRep1	Intergenic	5536
ONT	Post	0+	OvaryRep1	Intronic	161
ONT	Post	0+	OvaryRep1	Overlaps	17221
ONT	Post	0+	ShieldRep1	Antisense	698
ONT	Post	0+	ShieldRep1	Equal	2495
ONT	Post	0+	ShieldRep1	Extends	303
ONT	Post	0+	ShieldRep1	Included	547
ONT	Post	0+	ShieldRep1	Intergenic	2240
ONT	Post	0+	ShieldRep1	Intronic	335
ONT	Post	0+	ShieldRep1	Overlaps	8250
ONT	Post	0+	2-4Cell-TSORep1	Antisense	361
ONT	Post	0+	2-4Cell-TSORep1	Equal	9118
ONT	Post	0+	2-4Cell-TSORep1	Extends	668
ONT	Post	0+	2-4Cell-TSORep1	Included	968
ONT	Post	0+	2-4Cell-TSORep1	Intergenic	787
ONT	Post	0+	2-4Cell-TSORep1	Intronic	92
ONT	Post	0+	2-4Cell-TSORep1	Overlaps	18564
ONT	Post	0+	2-4Cell-noSS500Rep1	Antisense	348
ONT	Post	0+	2-4Cell-noSS500Rep1	Equal	7257
ONT	Post	0+	2-4Cell-noSS500Rep1	Extends	359
ONT	Post	0+	2-4Cell-noSS500Rep1	Included	697
ONT	Post	0+	2-4Cell-noSS500Rep1	Intergenic	595
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronic	60
ONT	Post	0+	2-4Cell-noSS500Rep1	Overlaps	13852
