seqTech	capDesign	sizeFrac	sampleRep	level	metric	value
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Pr	75.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Base	Sn	19.9
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Pr	5.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Exon	Sn	0.6
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Pr	-nan
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronchain	Sn	0.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Pr	-nan
ONT	Post	0+	2-4Cell-noSS500Rep1	Intron	Sn	0.0
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Pr	3.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Locus	Sn	4.8
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Pr	3.7
ONT	Post	0+	2-4Cell-noSS500Rep1	Transcript	Sn	1.9
ONT	Post	0+	2-4CellRep1	Base	Pr	50.7
ONT	Post	0+	2-4CellRep1	Base	Sn	21.2
ONT	Post	0+	2-4CellRep1	Exon	Pr	2.0
ONT	Post	0+	2-4CellRep1	Exon	Sn	0.3
ONT	Post	0+	2-4CellRep1	Intronchain	Pr	-nan
ONT	Post	0+	2-4CellRep1	Intronchain	Sn	0.0
ONT	Post	0+	2-4CellRep1	Intron	Pr	-nan
ONT	Post	0+	2-4CellRep1	Intron	Sn	0.0
ONT	Post	0+	2-4CellRep1	Locus	Pr	0.7
ONT	Post	0+	2-4CellRep1	Locus	Sn	1.3
ONT	Post	0+	2-4CellRep1	Transcript	Pr	0.7
ONT	Post	0+	2-4CellRep1	Transcript	Sn	0.5
ONT	Post	0+	2-4Cell-TSORep1	Base	Pr	60.7
ONT	Post	0+	2-4Cell-TSORep1	Base	Sn	26.0
ONT	Post	0+	2-4Cell-TSORep1	Exon	Pr	3.1
ONT	Post	0+	2-4Cell-TSORep1	Exon	Sn	0.4
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Pr	-nan
ONT	Post	0+	2-4Cell-TSORep1	Intronchain	Sn	0.0
ONT	Post	0+	2-4Cell-TSORep1	Intron	Pr	-nan
ONT	Post	0+	2-4Cell-TSORep1	Intron	Sn	0.0
ONT	Post	0+	2-4Cell-TSORep1	Locus	Pr	1.1
ONT	Post	0+	2-4Cell-TSORep1	Locus	Sn	2.0
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Pr	1.1
ONT	Post	0+	2-4Cell-TSORep1	Transcript	Sn	0.8
ONT	Post	0+	28hpf-noSS500Rep1	Base	Pr	64.6
ONT	Post	0+	28hpf-noSS500Rep1	Base	Sn	22.6
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Pr	8.2
ONT	Post	0+	28hpf-noSS500Rep1	Exon	Sn	1.1
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Pr	-nan
ONT	Post	0+	28hpf-noSS500Rep1	Intronchain	Sn	0.0
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Pr	-nan
ONT	Post	0+	28hpf-noSS500Rep1	Intron	Sn	0.0
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Pr	6.4
ONT	Post	0+	28hpf-noSS500Rep1	Locus	Sn	8.6
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Pr	6.4
ONT	Post	0+	28hpf-noSS500Rep1	Transcript	Sn	3.5
ONT	Post	0+	28hpfRep1	Base	Pr	39.9
ONT	Post	0+	28hpfRep1	Base	Sn	24.2
ONT	Post	0+	28hpfRep1	Exon	Pr	3.1
ONT	Post	0+	28hpfRep1	Exon	Sn	0.6
ONT	Post	0+	28hpfRep1	Intronchain	Pr	-nan
ONT	Post	0+	28hpfRep1	Intronchain	Sn	0.0
ONT	Post	0+	28hpfRep1	Intron	Pr	-nan
ONT	Post	0+	28hpfRep1	Intron	Sn	0.0
ONT	Post	0+	28hpfRep1	Locus	Pr	2.1
ONT	Post	0+	28hpfRep1	Locus	Sn	4.1
ONT	Post	0+	28hpfRep1	Transcript	Pr	2.1
ONT	Post	0+	28hpfRep1	Transcript	Sn	1.7
ONT	Post	0+	28hpf-TSORep1	Base	Pr	30.5
ONT	Post	0+	28hpf-TSORep1	Base	Sn	27.0
