seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Pre	0+	2-4Cell-TSORep1	Antisense	1641
ONT	Pre	0+	2-4Cell-TSORep1	Equal	167
ONT	Pre	0+	2-4Cell-TSORep1	Extends	54
ONT	Pre	0+	2-4Cell-TSORep1	Included	5978
ONT	Pre	0+	2-4Cell-TSORep1	Intergenic	2592
ONT	Pre	0+	2-4Cell-TSORep1	Intronic	1015
ONT	Pre	0+	2-4Cell-TSORep1	Overlaps	3962
ONT	Pre	0+	TestisRep1	Antisense	1021
ONT	Pre	0+	TestisRep1	Equal	177
ONT	Pre	0+	TestisRep1	Extends	86
ONT	Pre	0+	TestisRep1	Included	2283
ONT	Pre	0+	TestisRep1	Intergenic	2828
ONT	Pre	0+	TestisRep1	Intronic	1362
ONT	Pre	0+	TestisRep1	Overlaps	2059
ONT	Pre	0+	28hpf-noSS500Rep1	Antisense	57
ONT	Pre	0+	28hpf-noSS500Rep1	Equal	173
ONT	Pre	0+	28hpf-noSS500Rep1	Extends	39
ONT	Pre	0+	28hpf-noSS500Rep1	Included	1335
ONT	Pre	0+	28hpf-noSS500Rep1	Intergenic	455
ONT	Pre	0+	28hpf-noSS500Rep1	Intronic	137
ONT	Pre	0+	28hpf-noSS500Rep1	Overlaps	491
ONT	Pre	0+	2-4CellRep1	Antisense	270
ONT	Pre	0+	2-4CellRep1	Equal	166
ONT	Pre	0+	2-4CellRep1	Extends	71
ONT	Pre	0+	2-4CellRep1	Included	3463
ONT	Pre	0+	2-4CellRep1	Intergenic	967
ONT	Pre	0+	2-4CellRep1	Intronic	295
ONT	Pre	0+	2-4CellRep1	Overlaps	1764
ONT	Pre	0+	Heart-TSORep1	Antisense	1104
ONT	Pre	0+	Heart-TSORep1	Equal	154
ONT	Pre	0+	Heart-TSORep1	Extends	75
ONT	Pre	0+	Heart-TSORep1	Included	4646
ONT	Pre	0+	Heart-TSORep1	Intergenic	3583
ONT	Pre	0+	Heart-TSORep1	Intronic	2223
ONT	Pre	0+	Heart-TSORep1	Overlaps	3483
ONT	Pre	0+	2-4Cell-noSS500Rep1	Antisense	93
ONT	Pre	0+	2-4Cell-noSS500Rep1	Equal	171
ONT	Pre	0+	2-4Cell-noSS500Rep1	Extends	36
ONT	Pre	0+	2-4Cell-noSS500Rep1	Included	2582
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intergenic	574
ONT	Pre	0+	2-4Cell-noSS500Rep1	Intronic	167
ONT	Pre	0+	2-4Cell-noSS500Rep1	Overlaps	950
ONT	Pre	0+	Heart-noSS500Rep1	Antisense	175
ONT	Pre	0+	Heart-noSS500Rep1	Equal	129
ONT	Pre	0+	Heart-noSS500Rep1	Extends	44
ONT	Pre	0+	Heart-noSS500Rep1	Included	1619
ONT	Pre	0+	Heart-noSS500Rep1	Intergenic	566
ONT	Pre	0+	Heart-noSS500Rep1	Intronic	225
ONT	Pre	0+	Heart-noSS500Rep1	Overlaps	843
ONT	Pre	0+	28hpfRep1	Antisense	90
ONT	Pre	0+	28hpfRep1	Equal	195
ONT	Pre	0+	28hpfRep1	Extends	53
ONT	Pre	0+	28hpfRep1	Included	1225
ONT	Pre	0+	28hpfRep1	Intergenic	585
ONT	Pre	0+	28hpfRep1	Intronic	173
ONT	Pre	0+	28hpfRep1	Overlaps	607
ONT	Pre	0+	OvaryRep1	Antisense	293
ONT	Pre	0+	OvaryRep1	Equal	162
ONT	Pre	0+	OvaryRep1	Extends	40
ONT	Pre	0+	OvaryRep1	Included	2146
ONT	Pre	0+	OvaryRep1	Intergenic	777
ONT	Pre	0+	OvaryRep1	Intronic	278
ONT	Pre	0+	OvaryRep1	Overlaps	957
ONT	Pre	0+	BrainRep1	Antisense	674
ONT	Pre	0+	BrainRep1	Equal	208
ONT	Pre	0+	BrainRep1	Extends	91
ONT	Pre	0+	BrainRep1	Included	3291
ONT	Pre	0+	BrainRep1	Intergenic	2745
ONT	Pre	0+	BrainRep1	Intronic	819
ONT	Pre	0+	BrainRep1	Overlaps	2139
ONT	Pre	0+	28hpf-TSORep1	Antisense	3219
ONT	Pre	0+	28hpf-TSORep1	Equal	286
ONT	Pre	0+	28hpf-TSORep1	Extends	217
ONT	Pre	0+	28hpf-TSORep1	Included	7424
ONT	Pre	0+	28hpf-TSORep1	Intergenic	8903
ONT	Pre	0+	28hpf-TSORep1	Intronic	9220
ONT	Pre	0+	28hpf-TSORep1	Overlaps	8975
ONT	Pre	0+	ShieldRep1	Antisense	317
ONT	Pre	0+	ShieldRep1	Equal	162
ONT	Pre	0+	ShieldRep1	Extends	149
ONT	Pre	0+	ShieldRep1	Included	2932
ONT	Pre	0+	ShieldRep1	Intergenic	2012
ONT	Pre	0+	ShieldRep1	Intronic	912
