seqTech	capDesign	sizeFrac	sampleRep	category	count
ONT	Post	0+	28hpf-TSORep1	Antisense	539
ONT	Post	0+	28hpf-TSORep1	Equal	255
ONT	Post	0+	28hpf-TSORep1	Extends	189
ONT	Post	0+	28hpf-TSORep1	Included	5210
ONT	Post	0+	28hpf-TSORep1	Intergenic	3148
ONT	Post	0+	28hpf-TSORep1	Intronic	2179
ONT	Post	0+	28hpf-TSORep1	Overlaps	6993
ONT	Post	0+	2-4Cell-TSORep1	Antisense	238
ONT	Post	0+	2-4Cell-TSORep1	Equal	149
ONT	Post	0+	2-4Cell-TSORep1	Extends	50
ONT	Post	0+	2-4Cell-TSORep1	Included	4809
ONT	Post	0+	2-4Cell-TSORep1	Intergenic	1175
ONT	Post	0+	2-4Cell-TSORep1	Intronic	330
ONT	Post	0+	2-4Cell-TSORep1	Overlaps	3302
ONT	Post	0+	Heart-TSORep1	Antisense	199
ONT	Post	0+	Heart-TSORep1	Equal	126
ONT	Post	0+	Heart-TSORep1	Extends	66
ONT	Post	0+	Heart-TSORep1	Included	3528
ONT	Post	0+	Heart-TSORep1	Intergenic	1317
ONT	Post	0+	Heart-TSORep1	Intronic	480
ONT	Post	0+	Heart-TSORep1	Overlaps	2672
ONT	Post	0+	ShieldRep1	Antisense	92
ONT	Post	0+	ShieldRep1	Equal	44
ONT	Post	0+	ShieldRep1	Extends	35
ONT	Post	0+	ShieldRep1	Included	1095
ONT	Post	0+	ShieldRep1	Intergenic	800
ONT	Post	0+	ShieldRep1	Intronic	314
ONT	Post	0+	ShieldRep1	Overlaps	756
ONT	Post	0+	BrainRep1	Antisense	191
ONT	Post	0+	BrainRep1	Equal	57
ONT	Post	0+	BrainRep1	Extends	31
ONT	Post	0+	BrainRep1	Included	1835
ONT	Post	0+	BrainRep1	Intergenic	1295
ONT	Post	0+	BrainRep1	Intronic	423
ONT	Post	0+	BrainRep1	Overlaps	1376
ONT	Post	0+	28hpf-noSS500Rep1	Antisense	43
ONT	Post	0+	28hpf-noSS500Rep1	Equal	163
ONT	Post	0+	28hpf-noSS500Rep1	Extends	37
ONT	Post	0+	28hpf-noSS500Rep1	Included	1243
ONT	Post	0+	28hpf-noSS500Rep1	Intergenic	386
ONT	Post	0+	28hpf-noSS500Rep1	Intronic	98
ONT	Post	0+	28hpf-noSS500Rep1	Overlaps	461
ONT	Post	0+	Heart-noSS500Rep1	Antisense	101
ONT	Post	0+	Heart-noSS500Rep1	Equal	118
ONT	Post	0+	Heart-noSS500Rep1	Extends	42
ONT	Post	0+	Heart-noSS500Rep1	Included	1400
ONT	Post	0+	Heart-noSS500Rep1	Intergenic	351
ONT	Post	0+	Heart-noSS500Rep1	Intronic	115
ONT	Post	0+	Heart-noSS500Rep1	Overlaps	727
ONT	Post	0+	HeartRep1	Antisense	109
ONT	Post	0+	HeartRep1	Equal	69
ONT	Post	0+	HeartRep1	Extends	30
ONT	Post	0+	HeartRep1	Included	1122
ONT	Post	0+	HeartRep1	Intergenic	618
ONT	Post	0+	HeartRep1	Intronic	173
ONT	Post	0+	HeartRep1	Overlaps	763
ONT	Post	0+	LiverRep1	Antisense	95
ONT	Post	0+	LiverRep1	Equal	73
ONT	Post	0+	LiverRep1	Extends	26
ONT	Post	0+	LiverRep1	Included	876
ONT	Post	0+	LiverRep1	Intergenic	432
ONT	Post	0+	LiverRep1	Intronic	114
ONT	Post	0+	LiverRep1	Overlaps	707
ONT	Post	0+	Testis-noSS500Rep1	Antisense	264
ONT	Post	0+	Testis-noSS500Rep1	Equal	147
ONT	Post	0+	Testis-noSS500Rep1	Extends	55
ONT	Post	0+	Testis-noSS500Rep1	Included	1635
ONT	Post	0+	Testis-noSS500Rep1	Intergenic	1009
ONT	Post	0+	Testis-noSS500Rep1	Intronic	342
ONT	Post	0+	Testis-noSS500Rep1	Overlaps	1222
ONT	Post	0+	2-4CellRep1	Antisense	62
ONT	Post	0+	2-4CellRep1	Equal	25
ONT	Post	0+	2-4CellRep1	Extends	15
ONT	Post	0+	2-4CellRep1	Included	1428
ONT	Post	0+	2-4CellRep1	Intergenic	505
ONT	Post	0+	2-4CellRep1	Intronic	93
ONT	Post	0+	2-4CellRep1	Overlaps	773
ONT	Post	0+	2-4Cell-noSS500Rep1	Antisense	63
ONT	Post	0+	2-4Cell-noSS500Rep1	Equal	158
ONT	Post	0+	2-4Cell-noSS500Rep1	Extends	34
ONT	Post	0+	2-4Cell-noSS500Rep1	Included	2306
ONT	Post	0+	2-4Cell-noSS500Rep1	Intergenic	433
ONT	Post	0+	2-4Cell-noSS500Rep1	Intronic	114
ONT	Post	0+	2-4Cell-noSS500Rep1	Overlaps	834
ONT	Post	0+	TestisRep1	Antisense	167
ONT	Post	0+	TestisRep1	Equal	51
ONT	Post	0+	TestisRep1	Extends	28
ONT	Post	0+	TestisRep1	Included	929
ONT	Post	0+	TestisRep1	Intergenic	1068
ONT	Post	0+	TestisRep1	Intronic	274
ONT	Post	0+	TestisRep1	Overlaps	873
ONT	Post	0+	OvaryRep1	Antisense	129
ONT	Post	0+	OvaryRep1	Equal	72
ONT	Post	0+	OvaryRep1	Extends	29
ONT	Post	0+	OvaryRep1	Included	1137
ONT	Post	0+	OvaryRep1	Intergenic	615
ONT	Post	0+	OvaryRep1	Intronic	132
ONT	Post	0+	OvaryRep1	Overlaps	601
ONT	Post	0+	Testis-TSORep1	Antisense	336
ONT	Post	0+	Testis-TSORep1	Equal	161
ONT	Post	0+	Testis-TSORep1	Extends	61
ONT	Post	0+	Testis-TSORep1	Included	4941
ONT	Post	0+	Testis-TSORep1	Intergenic	2297
ONT	Post	0+	Testis-TSORep1	Intronic	701
ONT	Post	0+	Testis-TSORep1	Overlaps	3191
ONT	Post	0+	28hpfRep1	Antisense	101
ONT	Post	0+	28hpfRep1	Equal	98
ONT	Post	0+	28hpfRep1	Extends	48
ONT	Post	0+	28hpfRep1	Included	1245
ONT	Post	0+	28hpfRep1	Intergenic	869
ONT	Post	0+	28hpfRep1	Intronic	235
ONT	Post	0+	28hpfRep1	Overlaps	851
ONT	Pre	0+	28hpf-TSORep1	Antisense	539
ONT	Pre	0+	28hpf-TSORep1	Equal	255
ONT	Pre	0+	28hpf-TSORep1	Extends	189
ONT	Pre	0+	28hpf-TSORep1	Included	5210
ONT	Pre	0+	28hpf-TSORep1	Intergenic	3148
ONT	Pre	0+	28hpf-TSORep1	Intronic	2179
ONT	Pre	0+	28hpf-TSORep1	Overlaps	6993
ONT	Pre	0+	2-4Cell-TSORep1	Antisense	238
ONT	Pre	0+	2-4Cell-TSORep1	Equal	149
