seqTech	capDesign	sizeFrac	sampleRep	category	count	percent
ONT	Post	0+	2-4Cell-noSS500Rep1	common	61893	0.789522
ONT	Post	0+	2-4Cell-noSS500Rep1	novel	16500	0.210478
ONT	Post	0+	2-4CellRep1	common	20230	0.489866
ONT	Post	0+	2-4CellRep1	novel	21067	0.510134
ONT	Post	0+	2-4Cell-TSORep1	common	93122	0.800974
ONT	Post	0+	2-4Cell-TSORep1	novel	23139	0.199026
ONT	Post	0+	28hpf-noSS500Rep1	common	45342	0.820269
ONT	Post	0+	28hpf-noSS500Rep1	novel	9935	0.179731
ONT	Post	0+	28hpfRep1	common	36143	0.615263
ONT	Post	0+	28hpfRep1	novel	22601	0.384737
ONT	Post	0+	28hpf-TSORep1	common	102384	0.790793
ONT	Post	0+	28hpf-TSORep1	novel	27086	0.209207
ONT	Post	0+	BrainRep1	common	24460	0.479909
ONT	Post	0+	BrainRep1	novel	26508	0.520091
ONT	Post	0+	Heart-noSS500Rep1	common	55614	0.800397
ONT	Post	0+	Heart-noSS500Rep1	novel	13869	0.199603
ONT	Post	0+	HeartRep1	common	35731	0.6293
ONT	Post	0+	HeartRep1	novel	21048	0.3707
ONT	Post	0+	Heart-TSORep1	common	68642	0.842605
ONT	Post	0+	Heart-TSORep1	novel	12822	0.157395
ONT	Post	0+	LiverRep1	common	41474	0.666174
ONT	Post	0+	LiverRep1	novel	20783	0.333826
ONT	Post	0+	OvaryRep1	common	38270	0.554686
ONT	Post	0+	OvaryRep1	novel	30724	0.445314
ONT	Post	0+	ShieldRep1	common	18040	0.49483
ONT	Post	0+	ShieldRep1	novel	18417	0.50517
ONT	Post	0+	Testis-noSS500Rep1	common	51221	0.645841
ONT	Post	0+	Testis-noSS500Rep1	novel	28088	0.354159
ONT	Post	0+	TestisRep1	common	27723	0.365406
ONT	Post	0+	TestisRep1	novel	48146	0.634594
ONT	Post	0+	Testis-TSORep1	common	78435	0.77508
ONT	Post	0+	Testis-TSORep1	novel	22761	0.22492
ONT	Pre	0+	2-4Cell-noSS500Rep1	common	61893	0.789522
ONT	Pre	0+	2-4Cell-noSS500Rep1	novel	16500	0.210478
ONT	Pre	0+	2-4CellRep1	common	75243	0.735499
ONT	Pre	0+	2-4CellRep1	novel	27059	0.264501
ONT	Pre	0+	2-4Cell-TSORep1	common	93122	0.800974
ONT	Pre	0+	2-4Cell-TSORep1	novel	23139	0.199026
ONT	Pre	0+	28hpf-noSS500Rep1	common	45342	0.820269
ONT	Pre	0+	28hpf-noSS500Rep1	novel	9935	0.179731
ONT	Pre	0+	28hpfRep1	common	55423	0.831403
ONT	Pre	0+	28hpfRep1	novel	11239	0.168597
ONT	Pre	0+	28hpf-TSORep1	common	102384	0.790793
ONT	Pre	0+	28hpf-TSORep1	novel	27086	0.209207
ONT	Pre	0+	BrainRep1	common	66421	0.760227
ONT	Pre	0+	BrainRep1	novel	20949	0.239773
ONT	Pre	0+	Heart-noSS500Rep1	common	55614	0.800397
ONT	Pre	0+	Heart-noSS500Rep1	novel	13869	0.199603
ONT	Pre	0+	HeartRep1	common	56416	0.810167
ONT	Pre	0+	HeartRep1	novel	13219	0.189833
ONT	Pre	0+	Heart-TSORep1	common	68642	0.842605
ONT	Pre	0+	Heart-TSORep1	novel	12822	0.157395
ONT	Pre	0+	LiverRep1	common	46028	0.807197
ONT	Pre	0+	LiverRep1	novel	10994	0.192803
ONT	Pre	0+	OvaryRep1	common	65250	0.745135
ONT	Pre	0+	OvaryRep1	novel	22318	0.254865
ONT	Pre	0+	ShieldRep1	common	60218	0.693596
ONT	Pre	0+	ShieldRep1	novel	26602	0.306404
ONT	Pre	0+	Testis-noSS500Rep1	common	51221	0.645841
ONT	Pre	0+	Testis-noSS500Rep1	novel	28088	0.354159
ONT	Pre	0+	TestisRep1	common	61778	0.630555
ONT	Pre	0+	TestisRep1	novel	36196	0.369445
ONT	Pre	0+	Testis-TSORep1	common	78435	0.77508
ONT	Pre	0+	Testis-TSORep1	novel	22761	0.22492
